VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
10567,iotapapillomavirus 1,iotapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
2169961,iotapapillomavirus 2,iotapapillomavirus,papillomaviridae,zurhausenvirales,papovaviricetes,TRUE,TRUE
55096,ippy mammarenavirus,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
2594309,iridovirus liz-criv,NA,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
249583,irkut lyssavirus,lyssavirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
1972573,isfahan vesiculovirus,vesiculovirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
2689358,isla virus,NA,iflaviridae,picornavirales,pisoniviricetes,TRUE,FALSE
42097,isla vista hantavirus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
64291,israel turkey meningoencephalomyelitis virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
1453408,issyk-kul virus,orthonairovirus,nairoviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2734451,itaituba phlebovirus,phlebovirus,phenuiviridae,bunyavirales,ellioviricetes,TRUE,TRUE
2734452,itaporanga phlebovirus,phlebovirus,phenuiviridae,bunyavirales,ellioviricetes,TRUE,TRUE
261204,itapua hantavirus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
11746,jaagsiekte sheep retrovirus,betaretrovirus,retroviridae,ortervirales,revtraviricetes,TRUE,TRUE
436077,jabora virus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2560532,jamestown canyon orthobunyavirus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
1585656,japalura splendida ranavirus,ranavirus,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
2547358,japanaut virus,orbivirus,reoviridae,reovirales,resentoviricetes,TRUE,FALSE
360164,japanese aquabirnavirus genogroup 7,aquabirnavirus,birnaviridae,NA,NA,TRUE,FALSE
2795229,japanese cytomegalovirus,cytomegalovirus,herpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
712037,japanese eel endothelial cells-infecting virus,NA,NA,NA,NA,TRUE,FALSE
11072,japanese encephalitis virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
2170198,japanese macaque simian foamy virus,simiispumavirus,retroviridae,ortervirales,revtraviricetes,TRUE,TRUE
2560533,jatobal orthobunyavirus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
178534,jc virus x bk virus,NA,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,FALSE
12521,jdv virus,NA,NA,NA,NA,TRUE,FALSE
2686070,jeilongvirus sp.,jeilongvirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,FALSE
1980473,jeju orthohantavirus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
36370,jembrana disease virus,lentivirus,retroviridae,ortervirales,revtraviricetes,TRUE,TRUE
466215,jemez springs virus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2050008,jerboa arenavirus,NA,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2050012,jerboa hantavirus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
2652327,jeremy point nyavirus,NA,nyamiviridae,mononegavirales,monjiviricetes,TRUE,FALSE
1564919,jiangxi12-b14 orthoreovirus,orthoreovirus,reoviridae,reovirales,resentoviricetes,TRUE,FALSE
1923346,jingmen ascaridia virus 1,NA,NA,NA,NA,TRUE,FALSE
1923347,jingmen birna-like virus,NA,NA,NA,NA,TRUE,FALSE
1923348,jingmen bunya-like virus 1,NA,NA,NA,NA,TRUE,FALSE
1923349,jingmen picobirna-like virus 1,NA,NA,NA,NA,TRUE,FALSE
1923350,jingmen picorna-like virus,NA,NA,NA,NA,TRUE,FALSE
1923351,jingmen tombus-like virus 1,NA,NA,NA,NA,TRUE,FALSE
1938656,jingmen tombus-like virus 2,NA,NA,NA,NA,TRUE,FALSE
1923352,jingmen toti-like virus 1,NA,NA,NA,NA,TRUE,FALSE
1390986,johnius dussumieri ranavirus,ranavirus,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
688437,johnston atoll quaranjavirus,quaranjavirus,orthomyxoviridae,articulavirales,insthoviricetes,TRUE,TRUE
64309,jugra virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
2560536,jun jeilongvirus,jeilongvirus,paramyxoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
430511,juquitiba virus,orthohantavirus,hantaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
1972568,jurona vesiculovirus,vesiculovirus,rhabdoviridae,mononegavirales,monjiviricetes,TRUE,TRUE
64299,jutiapa virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
64310,kadam virus,flavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,TRUE
104580,kadipiro virus,seadornavirus,reoviridae,reovirales,resentoviricetes,TRUE,TRUE
1933275,kaeng khoi orthobunyavirus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
2707226,kagge virus,NA,NA,NA,NA,TRUE,FALSE
1933276,kairi orthobunyavirus,orthobunyavirus,peribunyaviridae,bunyavirales,ellioviricetes,TRUE,TRUE
