Host,HostTaxID,HostNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms
bos taurus x bison bison,297284,TRUE,bos,bovidae,artiodactyla,mammalia,Bos taurus x Bison bison,"NA"
boselaphus tragocamelus,9917,TRUE,boselaphus,bovidae,artiodactyla,mammalia,Boselaphus tragocamelus,"NA"
boselaphus tragocamelus,NA,TRUE,boselaphus,bovidae,cetartiodactyla,mammalia,Boselaphus tragocamelus,"NA"
botaurus lentiginosus,110661,TRUE,botaurus,ardeidae,pelecaniformes,aves,Botaurus lentiginosus,"NA"
botaurus stellaris,188376,TRUE,botaurus,ardeidae,pelecaniformes,aves,Botaurus stellaris,"NA"
bothriechis schlegelii,44725,TRUE,bothriechis,viperidae,squamata,lepidosauria,Bothriechis schlegelii,"NA"
bothriechis schlegelii,44725,TRUE,bothriechis,viperidae,squamata,reptilia,Bothriechis schlegelii,"Bothrops schlegelii, Trigonocephalus schlegelii"
bothrops atrox,8725,TRUE,bothrops,viperidae,squamata,lepidosauria,Bothrops atrox,"NA"
bothrops atrox,8725,TRUE,bothrops,viperidae,squamata,reptilia,Bothrops atrox,"Bothrops isabelae, Coluber atrox"
brachylagus idahoensis,48083,TRUE,brachylagus,leporidae,lagomorpha,mammalia,Brachylagus idahoensis,"NA"
brachymystax lenok,62067,TRUE,brachymystax,salmonidae,salmoniformes,actinopteri,Brachymystax lenok,"NA"
brachymystax lenok,62067,TRUE,brachymystax,salmonidae,salmoniformes,actinopterygii,Brachymystax lenok,"NA"
brachyteles arachnoides,30594,TRUE,brachyteles,atelidae,primates,mammalia,Brachyteles arachnoides,"NA"
brachyteles arachnoides,NA,TRUE,brachyteles,atelidae,primates,mammalia,Brachyteles arachnoides,"Ateles eriodes, Brachyteles macrotarsus, Eriodes tuberifer"
bradypus tridactylus,9354,TRUE,bradypus,bradypodidae,pilosa,mammalia,Bradypus tridactylus,"NA"
bradypus tridactylus,NA,TRUE,bradypus,bradypodidae,pilosa,mammalia,Bradypus tridactylus,"NA, Acheus ai, Bradypus cuculliger, Bradypus cummunis, Bradypus gularis, Arctopithecus blainvillii, Arctopithecus flaccidus, Arctopithecus flaccidus dysonii, Arctopithecus flaccidus smithii"
bradypus variegatus,9355,TRUE,bradypus,bradypodidae,pilosa,mammalia,Bradypus variegatus,"NA"
bradypus variegatus,NA,TRUE,bradypus,bradypodidae,pilosa,mammalia,Bradypus variegatus,"NA, Arctopithecus castaneiceps, Arctopithecus griseus"
branta bernicla,184712,TRUE,branta,anatidae,anseriformes,aves,Branta bernicla,"Anas bernicla, NA"
branta canadensis,8853,TRUE,branta,anatidae,anseriformes,aves,Branta canadensis,"Anas canadensis, NA"
branta hutchinsii,371860,TRUE,branta,anatidae,anseriformes,aves,Branta hutchinsii,"NA"
branta leucopsis,184711,TRUE,branta,anatidae,anseriformes,aves,Branta leucopsis,"NA"
branta ruficollis,184715,TRUE,branta,anatidae,anseriformes,aves,Branta ruficollis,"NA"
branta sandvicensis,56282,TRUE,branta,anatidae,anseriformes,aves,Branta sandvicensis,"NA"
brevoortia tyrannus,224708,TRUE,brevoortia,clupeidae,clupeiformes,actinopteri,Brevoortia tyrannus,"NA"
brevoortia tyrannus,224708,TRUE,brevoortia,clupeidae,clupeiformes,actinopterygii,Brevoortia tyrannus,"NA"
broadleysaurus major,174280,TRUE,broadleysaurus,gerrhosauridae,squamata,lepidosauria,Broadleysaurus major,"NA"
brotogeris tirica,671078,TRUE,brotogeris,psittacidae,psittaciformes,aves,Brotogeris tirica,"NA"
brotogeris versicolurus,178886,TRUE,brotogeris,psittacidae,psittaciformes,aves,Brotogeris versicolurus,"NA"
bubalus bubalis,89462,TRUE,bubalus,bovidae,artiodactyla,mammalia,Bubalus bubalis,"NA"
bubalus bubalis,NA,TRUE,bubalus,bovidae,cetartiodactyla,mammalia,"Bubalus bubalis, Bubalus arnee","NA, Bubalus arnee"
bubalus carabanensis,346063,TRUE,bubalus,bovidae,artiodactyla,mammalia,Bubalus carabanensis,"NA"
bubalus carabanensis,NA,TRUE,bubalus,bovidae,cetartiodactyla,mammalia,Bubalus carabanensis,"NA"
bubo bubo,30461,TRUE,bubo,strigidae,strigiformes,aves,Bubo bubo,"Strix bubo, NA"
bubo lacteus,126804,TRUE,bubo,strigidae,strigiformes,aves,Bubo lacteus,Strix lactea
bubo scandiacus,371907,TRUE,bubo,strigidae,strigiformes,aves,Bubo scandiacus,"Bubo virginianus wapacuthu, Nyctea scandiaca, Bubo scandiaca, Strix scandiaca, NA"
bubo sumatranus,748877,TRUE,bubo,strigidae,strigiformes,aves,Bubo sumatranus,"NA"
bubo virginianus,56268,TRUE,bubo,strigidae,strigiformes,aves,Bubo virginianus,"NA"
bubulcus ibis,110668,TRUE,bubulcus,ardeidae,pelecaniformes,aves,Bubulcus ibis,"Bubulcus ibis ibis, NA"
bucephala albeola,279934,TRUE,bucephala,anatidae,anseriformes,aves,Bucephala albeola,"Glaucionetta albeola, NA"
bucephala clangula,107022,TRUE,bucephala,anatidae,anseriformes,aves,Bucephala clangula,"NA"
bucorvus abyssinicus,153643,TRUE,bucorvus,bucorvidae,bucerotiformes,aves,Bucorvus abyssinicus,"NA"
budorcas taxicolor,37181,TRUE,budorcas,bovidae,artiodactyla,mammalia,Budorcas taxicolor,"NA"
budorcas taxicolor,155054,TRUE,budorcas,bovidae,artiodactyla,mammalia,Budorcas taxicolor tibetana,"NA"
budorcas taxicolor,NA,TRUE,budorcas,bovidae,cetartiodactyla,mammalia,Budorcas taxicolor,"NA"
bufo bufo,8384,TRUE,bufo,bufonidae,anura,amphibia,Bufo bufo,"Rana bufo, Rana rubeta, Rana ventricosa, Bufo vulgaris, Bufo ventricosus, Buffo strumosus, Rana pluvialis, Bufo rubeta, Rana acephala, Rana scorodesma, Engystoma ventricosus, Bufo ferruginosus, Bufo tuberculosus, Bombinator ventricosus, Bufo palmarum, Bufo minutus, Bufo alpinus, Bufo carbunculus, Rana vulgaris, Phryne vulgaris, Bufo commutatus, Bufo communis, Pegaeus bufo, Bufavus meneghinii, Bufo spelaeus, Bufo cinereus minor, Bufo cinereus medius, Bufo cinereus hybridus, Bufo vulgaris acutirostris, Bufo vulgaris obtusirostris, Bufo vulgaris cinereus, NA"
bufo gargarizans,30331,TRUE,bufo,bufonidae,anura,amphibia,Bufo gargarizans,"NA"
bufo spinosus,655841,TRUE,bufo,bufonidae,anura,amphibia,Bufo spinosus,"NA"
burhinus grallarius,585466,TRUE,burhinus,burhinidae,charadriiformes,aves,Burhinus grallarius,"NA"
burhinus oedicnemus,85105,TRUE,burhinus,burhinidae,charadriiformes,aves,Burhinus oedicnemus,"NA"
butastur indicus,335207,TRUE,butastur,accipitridae,accipitriformes,aves,Butastur indicus,"NA"
buteo brachyurus,223853,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo brachyurus,"NA"
buteo buteo,30397,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo buteo,"NA"
buteo buteo,115228,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo buteo vulpinus,"NA"
buteo buteo,116586,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo buteo pojana,"NA"
buteo jamaicensis,56263,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo jamaicensis,"NA"
buteo japonicus,224669,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo japonicus,"NA"
buteo lagopus,115229,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo lagopus,"NA"
buteo lagopus,116580,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo lagopus lagopus,"NA"
buteo lineatus,223475,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo lineatus,"NA"
buteo regalis,223441,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo regalis,"NA"
buteo rufinus,115134,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo rufinus,"NA"
buteo rufinus,116585,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo rufinus rufinus,"NA"
buteo rufofuscus,223437,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo rufofuscus,"NA"
buteo swainsoni,156757,TRUE,buteo,accipitridae,accipitriformes,aves,Buteo swainsoni,"NA"
buteogallus meridionalis,223496,TRUE,buteogallus,accipitridae,accipitriformes,aves,Buteogallus meridionalis,"NA"
buteogallus urubitinga,223497,TRUE,buteogallus,accipitridae,accipitriformes,aves,Buteogallus urubitinga,"NA"
butorides striata,433628,TRUE,butorides,ardeidae,pelecaniformes,aves,Butorides striata,"NA"
butorides virescens,110671,TRUE,butorides,ardeidae,pelecaniformes,aves,Butorides virescens,"NA"
bycanistes fistulator,1303088,TRUE,bycanistes,bucerotidae,bucerotiformes,aves,Bycanistes fistulator,Ceratogymna fistulator
cabassous centralis,1756215,TRUE,cabassous,chlamyphoridae,cingulata,mammalia,Cabassous centralis,"NA"
cabassous centralis,NA,TRUE,cabassous,dasypodidae,cingulata,mammalia,Cabassous centralis,"NA"
cacajao calvus,30596,TRUE,cacajao,pitheciidae,primates,mammalia,Cacajao calvus,"NA"
cacajao calvus,NA,TRUE,cacajao,pitheciidae,primates,mammalia,Cacajao calvus,"NA"
cacajao melanocephalus,70825,TRUE,cacajao,pitheciidae,primates,mammalia,Cacajao melanocephalus,"NA"
cacajao melanocephalus,NA,TRUE,cacajao,pitheciidae,primates,mammalia,Cacajao melanocephalus,"Cacajao ouakary, Ouakaria spixii, Cacajao melanocephalus melanocephalus"
cacajao rubicundus,70927,TRUE,cacajao,pitheciidae,primates,mammalia,Cacajao rubicundus,"NA"
cacatua alba,141836,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua alba,"Cacatura alba, NA"
cacatua ducorpsii,141834,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua ducorpsii,"Cacatura ducorpsi, NA"
cacatua galerita,141274,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua galerita,"Cacatura galerita, NA"
cacatua galerita,141840,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua galerita triton,"NA"
cacatua galerita,1548957,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua galerita eleonora,"NA"
cacatua goffiniana,12983,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua goffiniana,"Cacatura goffini, Cacatua goffini, NA"
cacatua haematuropygia,141837,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua haematuropygia,"Cacatura haematuropygia, NA"
cacatua moluccensis,136504,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua moluccensis,"Cacatura moluccensis, NA"
cacatua ophthalmica,141835,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua ophthalmica,"Cacatura ophthalmica, NA"
cacatua pastinator,986097,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua pastinator,"NA"
cacatua sanguinea,274074,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua sanguinea,"Cacatura sanguinea, NA"
cacatua sulphurea,141271,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua sulphurea,"Cacatura sulphurea, NA"
cacatua tenuirostris,1344800,TRUE,cacatua,cacatuidae,psittaciformes,aves,Cacatua tenuirostris,"Cacatura tenuirostris, NA"
caiman crocodilus,8499,TRUE,caiman,alligatoridae,crocodylia,reptilia,Caiman crocodilus,"NA"
caiman latirostris,190476,TRUE,caiman,alligatoridae,crocodylia,reptilia,Caiman latirostris,"NA"
cairina moschata,8855,TRUE,cairina,anatidae,anseriformes,aves,Cairina moschata,"NA"
calandrella cinerea,1364912,TRUE,calandrella,alaudidae,passeriformes,aves,Calandrella cinerea,"NA"
calidris acuminata,192723,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris acuminata,"Calidris cooperi, NA"
calidris alba,279936,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris alba,"NA"
calidris alpina,8919,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris alpina,"NA"
calidris canutus,227173,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris canutus,"Tringa canutus, NA"
calidris ferruginea,217133,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris ferruginea,"NA"
calidris fuscicollis,279940,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris fuscicollis,"NA"
calidris mauri,279941,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris mauri,"NA"
calidris minuta,670340,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris minuta,"NA"
calidris minutilla,279935,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris minutilla,"NA"
calidris ptilocnemis,217132,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris ptilocnemis,"NA"
calidris pusilla,279961,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris pusilla,"NA"
calidris pygmaea,425635,TRUE,calidris,scolopacidae,charadriiformes,aves,"Calidris pygmaea, Eurynorhynchus pygmeus","NA"
calidris ruficollis,272047,TRUE,calidris,scolopacidae,charadriiformes,aves,Calidris ruficollis,"NA"
callicebus personatus,70814,TRUE,callicebus,pitheciidae,primates,mammalia,Callicebus personatus,"NA"
callimico goeldii,9495,TRUE,callimico,cebidae,primates,mammalia,Callimico goeldii,"NA"
callimico goeldii,NA,TRUE,callimico,callitrichidae,primates,mammalia,Callimico goeldii,Callimico snethlageri
callionymus kaianus,435136,TRUE,callionymus,callionymidae,syngnathiformes,actinopteri,Callionymus kaianus,"NA"
calliope calliope,229100,TRUE,calliope,muscicapidae,passeriformes,aves,"Calliope calliope, Luscinia calliope","NA"
callipepla californica,67771,TRUE,callipepla,odontophoridae,galliformes,aves,Callipepla californica,"Lophortyx californica, NA"
callipepla gambelii,67773,TRUE,callipepla,odontophoridae,galliformes,aves,Callipepla gambelii,"Lophortyx gambelii, NA"
callithrix geoffroyi,52231,TRUE,callithrix,cebidae,primates,mammalia,Callithrix geoffroyi,"NA"
callithrix geoffroyi,NA,TRUE,callithrix,cebidae,primates,mammalia,Callithrix geoffroyi,"Simia albifrons, Jacchus leucocephalus, Jacchus leucogenys, Jacchus maximiliani, Hapale melanotis"
callithrix jacchus,9483,TRUE,callithrix,cebidae,primates,mammalia,Callithrix jacchus,"NA"
callithrix jacchus,NA,TRUE,callithrix,cebidae,primates,mammalia,Callithrix jacchus,"Jacchus albicollis, Hapale communis, Hapale leucotis, Jacchus vulgaris, Simia jacchus moschatus, Jacchus vulgaris rufus"
callithrix penicillata,57378,TRUE,callithrix,cebidae,primates,mammalia,Callithrix penicillata,"NA"
callithrix penicillata,NA,TRUE,callithrix,cebidae,primates,mammalia,Callithrix penicillata,"Hapale trigonifer, Callithrix penicillata jordani"
callocephalon fimbriatum,986101,TRUE,callocephalon,psittacidae,psittaciformes,aves,Callocephalon fimbriatum,"NA"
callonetta leucophrys,75871,TRUE,callonetta,anatidae,anseriformes,aves,Callonetta leucophrys,"NA"
callopistes maculatus,271259,TRUE,callopistes,teiidae,squamata,reptilia,Callopistes maculatus,"NA"
callorhinus ursinus,34884,TRUE,callorhinus,otariidae,carnivora,mammalia,Callorhinus ursinus,"NA"
