Host,HostTaxID,HostNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms
abramis brama,38527,TRUE,abramis,leuciscidae,cypriniformes,actinopteri,Abramis brama,"NA"
abramis brama,38527,TRUE,abramis,leuciscidae,cypriniformes,actinopterygii,Abramis brama,"Cyprinus brama, Abramidopsis leuckartii, Abramis leuckartii"
abrothrix longipilis,29094,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix longipilis,"NA"
abrothrix longipilis,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix longipilis,"Akodon longipilis, Acodon hirtus, Akodon longipilis apta, Akodon longipilis castaneus"
abrothrix olivaceus,29098,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix olivaceus,"NA"
abrothrix olivaceus,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix olivaceus,"Akodon mansoensis, Akodon olivaceus, Akodon xanthorhinus"
abrothrix sanborni,682468,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix sanborni,"NA"
abrothrix sanborni,NA,TRUE,abrothrix,cricetidae,rodentia,mammalia,Abrothrix sanborni,Akodon sanborni
acanthemblemaria crockeri,57777,TRUE,acanthemblemaria,chaenopsidae,blenniiformes,actinopteri,Acanthemblemaria crockeri,"NA"
acanthemblemaria crockeri,57777,TRUE,acanthemblemaria,chaenopsidae,blenniiformes,actinopterygii,Acanthemblemaria crockeri,"NA"
acanthis flammea,54769,TRUE,acanthis,fringillidae,passeriformes,aves,Acanthis flammea,"Carduelis flammea, NA"
acanthogobius flavimanus,86203,TRUE,acanthogobius,gobiidae,gobiiformes,actinopteri,Acanthogobius flavimanus,"NA"
acanthopagrus latus,8177,TRUE,acanthopagrus,sparidae,spariformes,actinopteri,Acanthopagrus latus,"NA"
acanthopagrus latus,8177,TRUE,acanthopagrus,sparidae,spariformes,actinopterygii,Acanthopagrus latus,"NA"
acanthopagrus schlegelii,72011,TRUE,acanthopagrus,sparidae,spariformes,actinopteri,Acanthopagrus schlegelii,"NA"
acanthopagrus schlegelii,72011,TRUE,acanthopagrus,sparidae,spariformes,actinopterygii,Acanthopagrus schlegelii,Mylio macrocephalus
acanthophis antarcticus,8605,TRUE,acanthophis,elapidae,squamata,lepidosauria,Acanthophis antarcticus,"NA"
acanthorhynchus tenuirostris,266336,TRUE,acanthorhynchus,meliphagidae,passeriformes,aves,Acanthorhynchus tenuirostris,"NA"
acanthurus bariene,670521,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus bariene,"NA"
acanthurus dussumieri,238051,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus dussumieri,"NA"
acanthurus triostegus,175435,TRUE,acanthurus,acanthuridae,acanthuriformes,actinopteri,Acanthurus triostegus,"NA"
accipiter cooperii,261198,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter cooperii,"NA"
accipiter gentilis,8957,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gentilis,"NA"
accipiter gentilis,258924,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gentilis schvedowi,"NA"
accipiter gularis,258530,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter gularis,"NA"
accipiter nisus,211598,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter nisus,"NA"
accipiter striatus,56330,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter striatus,"NA"
accipiter trivirgatus,210844,TRUE,accipiter,accipitridae,accipitriformes,aves,Accipiter trivirgatus,"NA"
acerodon celebensis,58057,TRUE,acerodon,pteropodidae,chiroptera,mammalia,Acerodon celebensis,"NA"
acheilognathus macropterus,80791,TRUE,acheilognathus,acheilognathidae,cypriniformes,actinopteri,Acheilognathus macropterus,"NA"
acinonyx jubatus,32536,TRUE,acinonyx,felidae,carnivora,mammalia,Acinonyx jubatus,"NA"
acinonyx jubatus,NA,TRUE,acinonyx,felidae,carnivora,mammalia,Acinonyx jubatus,"NA"
acipenser baerii,27689,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser baerii,"NA"
acipenser baerii,27689,TRUE,acipenser,acipenseridae,acipenseriformes,actinopterygii,Acipenser baerii,"NA"
acipenser baerii,101767,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser baerii baerii,"NA"
acipenser brevirostrum,7907,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser brevirostrum,"NA"
acipenser brevirostrum,7907,TRUE,acipenser,acipenseridae,acipenseriformes,actinopterygii,Acipenser brevirostrum,"NA"
acipenser gueldenstaedtii,7902,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser gueldenstaedtii,"NA"
acipenser gueldenstaedtii,7902,TRUE,acipenser,acipenseridae,acipenseriformes,actinopterygii,Acipenser gueldenstaedtii,"Acipenser gueldenstaedtii colchica, Acipenser gueldenstaedtii gueldenstaedtii"
acipenser naccarii,42330,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser naccarii,"NA"
acipenser oxyrinchus,36177,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser oxyrinchus,"NA"
acipenser oxyrinchus,36177,TRUE,acipenser,acipenseridae,acipenseriformes,actinopterygii,Acipenser oxyrinchus,"Acipenser oxyrynchus, Acipenser oxyrhynchus"
acipenser ruthenus,7906,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser ruthenus,"NA"
acipenser stellatus,7903,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser stellatus,"NA"
acipenser transmontanus,7904,TRUE,acipenser,acipenseridae,acipenseriformes,actinopteri,Acipenser transmontanus,"NA"
acipenser transmontanus,7904,TRUE,acipenser,acipenseridae,acipenseriformes,actinopterygii,Acipenser transmontanus,"NA"
acomys cahirinus,10068,TRUE,acomys,muridae,rodentia,mammalia,Acomys cahirinus,"NA"
acomys cahirinus,NA,TRUE,acomys,muridae,rodentia,mammalia,Acomys cahirinus,"NA"
acomys dimidiatus,60744,TRUE,acomys,muridae,rodentia,mammalia,Acomys dimidiatus,"NA"
acomys dimidiatus,NA,TRUE,acomys,muridae,rodentia,mammalia,Acomys dimidiatus,"Acomys flavidus, Mus hispidus, Mus megalotis, Acomys dimidiatus homericus"
acomys subspinosus,81631,TRUE,acomys,muridae,rodentia,mammalia,Acomys subspinosus,"NA"
acomys wilsoni,37436,TRUE,acomys,muridae,rodentia,mammalia,Acomys wilsoni,"NA"
acrantophis dumerili,51850,TRUE,acrantophis,boidae,squamata,lepidosauria,Acrantophis dumerili,"NA"
acridotheres cristatellus,451382,TRUE,acridotheres,sturnidae,passeriformes,aves,Acridotheres cristatellus,"NA"
acridotheres fuscus,245038,TRUE,acridotheres,sturnidae,passeriformes,aves,Acridotheres fuscus,"NA"
acridotheres tristis,279927,TRUE,acridotheres,sturnidae,passeriformes,aves,Acridotheres tristis,"NA"
acris crepitans,317300,TRUE,acris,hylidae,anura,amphibia,Acris crepitans,"Acris crepitans crepitans, Acris gryllus crepitans, NA"
acrocephalus baeticatus,68472,TRUE,acrocephalus,sylviidae,passeriformes,aves,Acrocephalus baeticatus,"NA"
acrocephalus dumetorum,68474,TRUE,acrocephalus,sylviidae,passeriformes,aves,Acrocephalus dumetorum,"NA"
acrocephalus schoenobaenus,52609,TRUE,acrocephalus,sylviidae,passeriformes,aves,Acrocephalus schoenobaenus,"NA"
acrocephalus scirpaceus,48156,TRUE,acrocephalus,sylviidae,passeriformes,aves,Acrocephalus scirpaceus,"NA"
acropoma japonicum,2233869,TRUE,acropoma,acropomatidae,pempheriformes,actinopteri,Acropoma japonicum,"NA"
actinemys marmorata,335395,TRUE,actinemys,emydidae,testudines,reptilia,Actinemys marmorata,"Clemmys marmorata, Emys marmorata, Clemmys marmorata marmorata, Clemmys marmorata pallida, Actinemys marmorata marmorata, Actinemys marmorata pallida, Emys nigra, Clemmys wosnessenskyi, Clemmys hesperia, Actinemys pallida"
actitis macularius,190659,TRUE,actitis,scolopacidae,charadriiformes,aves,"Actitis macularia, Actitis macularius","Actitis macularia, Tringa macularia, NA"
addax nasomaculatus,59515,TRUE,addax,bovidae,artiodactyla,mammalia,Addax nasomaculatus,"NA"
addax nasomaculatus,NA,TRUE,addax,bovidae,cetartiodactyla,mammalia,Addax nasomaculatus,"NA"
aechmophorus occidentalis,57236,TRUE,aechmophorus,podicipedidae,podicipediformes,aves,Aechmophorus occidentalis,"NA"
aegithalos caudatus,73327,TRUE,aegithalos,aegithalidae,passeriformes,aves,Aegithalos caudatus,"NA"
aegithina tiphia,175021,TRUE,aegithina,aegithalidae,passeriformes,aves,Aegithina tiphia,"NA"
aegolius funereus,103375,TRUE,aegolius,strigidae,strigiformes,aves,Aegolius funereus,"Strix funerea, NA"
aegypius monachus,8959,TRUE,aegypius,accipitridae,accipitriformes,aves,Aegypius monachus,"NA"
aeoliscus strigatus,270546,TRUE,aeoliscus,centriscidae,syngnathiformes,actinopteri,Aeoliscus strigatus,"NA"
aeoliscus strigatus,270546,TRUE,aeoliscus,centriscidae,syngnathiformes,actinopterygii,Aeoliscus strigatus,Centriscus strigatus
aeorestes cinereus,257879,TRUE,aeorestes,vespertilionidae,chiroptera,mammalia,"Aeorestes cinereus, Lasiurus cinereus","NA"
aeorestes egregius,461400,TRUE,aeorestes,vespertilionidae,chiroptera,mammalia,Lasiurus egregius,"NA"
aepyceros melampus,9897,TRUE,aepyceros,bovidae,artiodactyla,mammalia,Aepyceros melampus,"NA"
aepyceros melampus,NA,TRUE,aepyceros,bovidae,cetartiodactyla,mammalia,Aepyceros melampus,"NA"
aesopia cornuta,215406,TRUE,aesopia,soleidae,pleuronectiformes,actinopteri,Aesopia cornuta,"NA"
aethomys chrysophilus,121561,TRUE,aethomys,muridae,rodentia,mammalia,Aethomys chrysophilus,"NA"
aethomys ineptus,284517,TRUE,aethomys,muridae,rodentia,mammalia,Aethomys ineptus,"NA"
aethomys kaiseri,253247,TRUE,aethomys,muridae,rodentia,mammalia,Aethomys kaiseri,"NA"
aethomys kaiseri,NA,TRUE,aethomys,muridae,rodentia,mammalia,Aethomys kaiseri,"Mus manteufeli, Mus walambae, Epimys kaiseri turneri"
afronycteris nana,568927,TRUE,afronycteris,vespertilionidae,chiroptera,mammalia,"Neoromicia nana, Neoromicia nanus, Afronycteris nana","NA"
agalychnis callidryas,197464,TRUE,agalychnis,hylidae,anura,amphibia,Agalychnis callidryas,"Hyla callidryas, Agalychnis helenae, Phyllomedusa helenae, Phyllomedusa callidryas, Agalychnis callidryas callidryas, Agalychnis callidryas taylori, NA"
agama agama,103336,TRUE,agama,agamidae,squamata,lepidosauria,Agama agama,"NA"
agamia agami,706245,TRUE,agamia,ardeidae,pelecaniformes,aves,Agamia agami,"NA"
agapornis fischeri,60463,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis fischeri,"NA"
agapornis lilianae,60464,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis lilianae,"NA"
agapornis nigrigenis,60465,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis nigrigenis,"Agapornis nigrigensis, NA"
agapornis personatus,60466,TRUE,agapornis,psittacidae,psittaciformes,aves,"Agapornis personata, Agapornis personatus","Agapornis personata, NA"
agapornis pullarius,60467,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis pullarius,"Agapornis pullaria, NA"
agapornis roseicollis,60468,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis roseicollis,"NA"
agapornis taranta,60469,TRUE,agapornis,psittacidae,psittaciformes,aves,Agapornis taranta,"NA"
agelaioides badius,84835,TRUE,agelaioides,icteridae,passeriformes,aves,"Molothrus badius, Agelaioides badius","Molothrus badius, NA"
agelaius phoeniceus,39638,TRUE,agelaius,icteridae,passeriformes,aves,Agelaius phoeniceus,"NA"
agelaius tricolor,9191,TRUE,agelaius,icteridae,passeriformes,aves,Agelaius tricolor,"NA"
agkistrodon bilineatus,8718,TRUE,agkistrodon,viperidae,squamata,reptilia,Agkistrodon bilineatus,Agkistrodon bilineatus bilineatus
agkistrodon contortrix,8720,TRUE,agkistrodon,viperidae,squamata,lepidosauria,Agkistrodon contortrix,"NA"
agkistrodon contortrix,8720,TRUE,agkistrodon,viperidae,squamata,reptilia,Agkistrodon contortrix,Boa contortrix
agkistrodon piscivorus,8715,TRUE,agkistrodon,viperidae,squamata,lepidosauria,Agkistrodon piscivorus,"NA"
agkistrodon piscivorus,8715,TRUE,agkistrodon,viperidae,squamata,reptilia,Agkistrodon piscivorus,Crotalus piscivorus
agropsar sturninus,2675479,TRUE,agropsar,sturnidae,passeriformes,aves,Agropsar sturninus,"NA"
ailuropoda melanoleuca,9646,TRUE,ailuropoda,ursidae,carnivora,mammalia,Ailuropoda melanoleuca,"NA"
ailuropoda melanoleuca,NA,TRUE,ailuropoda,ursidae,carnivora,mammalia,Ailuropoda melanoleuca,Ursus melanoleucus
ailurus fulgens,9649,TRUE,ailurus,ailuridae,carnivora,mammalia,Ailurus fulgens,"NA"
ailurus fulgens,NA,TRUE,ailurus,ailuridae,carnivora,mammalia,Ailurus fulgens,"NA"
aix galericulata,8832,TRUE,aix,anatidae,anseriformes,aves,Aix galericulata,"NA"
aix sponsa,8833,TRUE,aix,anatidae,anseriformes,aves,Aix sponsa,"NA"
akodon azarae,29095,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon azarae,"NA"
akodon azarae,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon azarae,"NA"
akodon cursor,29096,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon cursor,"NA"
akodon cursor,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon cursor,"NA"
akodon molinae,140761,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon molinae,"NA"
akodon montensis,106112,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon montensis,"NA"
akodon montensis,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon montensis,"NA"
akodon paranaensis,230113,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon paranaensis,"NA"
akodon paranaensis,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon paranaensis,"NA"
akodon serrensis,106114,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon serrensis,"NA"
akodon simulator,484371,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon simulator,"NA"
akodon simulator,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon simulator,"NA"
akodon varius,140762,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon varius,"NA"
akodon varius,NA,TRUE,akodon,cricetidae,rodentia,mammalia,Akodon varius,"NA"
alburnus alburnus,54556,TRUE,alburnus,leuciscidae,cypriniformes,actinopteri,Alburnus alburnus,"NA"
alcedo atthis,36245,TRUE,alcedo,alcedinidae,coraciiformes,aves,Alcedo atthis,"NA"
alcelaphus buselaphus,59517,TRUE,alcelaphus,bovidae,artiodactyla,mammalia,Alcelaphus buselaphus,"NA"
alcelaphus buselaphus,NA,TRUE,alcelaphus,bovidae,cetartiodactyla,mammalia,"Alcelaphus buselaphus, Alcelaphus lichtensteinii","NA, Sigmoceros lichtensteinii"
alces alces,9852,TRUE,alces,cervidae,artiodactyla,mammalia,Alces alces,"NA"
alces alces,NA,TRUE,alces,cervidae,cetartiodactyla,mammalia,"Alces alces, Alces americanus","Cervus alces, Cervus americanus"
alces americanus,999462,TRUE,alces,cervidae,artiodactyla,mammalia,Alces americanus,"NA"
alectoris chukar,9078,TRUE,alectoris,phasianidae,galliformes,aves,Alectoris chukar,"NA"
alectoris graeca,40178,TRUE,alectoris,phasianidae,galliformes,aves,Alectoris graeca,"NA"
alectoris rufa,9079,TRUE,alectoris,phasianidae,galliformes,aves,Alectoris rufa,"NA"
alepes djedaba,173327,TRUE,alepes,carangidae,carangiformes,actinopteri,Alepes djedaba,"NA"
alepes djedaba,173327,TRUE,alepes,carangidae,carangiformes,actinopterygii,Alepes djedaba,Caranx djeddaba
alipiopsitta xanthops,1548930,TRUE,alipiopsitta,psittacidae,psittaciformes,aves,"Alipiopsitta xanthops, Amazona xanthops","NA"
alisterus amboinensis,309870,TRUE,alisterus,psittacidae,psittaciformes,aves,Alisterus amboinensis,"NA"
alisterus scapularis,458117,TRUE,alisterus,psittacidae,psittaciformes,aves,Alisterus scapularis,"NA"
allenopithecus nigroviridis,54135,TRUE,allenopithecus,cercopithecidae,primates,mammalia,Allenopithecus nigroviridis,"NA"
allenopithecus nigroviridis,NA,TRUE,allenopithecus,cercopithecidae,primates,mammalia,Allenopithecus nigroviridis,"NA"
alligator mississippiensis,8496,TRUE,alligator,alligatoridae,crocodylia,reptilia,Alligator mississippiensis,"Alligator mississipiensis, Crocodilus mississipiensis"
alligator sinensis,38654,TRUE,alligator,alligatoridae,crocodylia,reptilia,Alligator sinensis,"NA"
allochrocebus lhoesti,100224,TRUE,allochrocebus,cercopithecidae,primates,mammalia,"Allochrocebus lhoesti, Cercopithecus lhoesti","NA"
allochrocebus lhoesti,NA,TRUE,allochrocebus,cercopithecidae,primates,mammalia,Cercopithecus lhoesti,"Cercopithecus lhoesti, Cercopithecus thomasi, Cercopithecus thomasi rutschuricus"
allochrocebus preussi,147649,TRUE,allochrocebus,cercopithecidae,primates,mammalia,"Cercopithecus preussi, Allochrocebus preussi","NA"
allochrocebus preussi,1137513,TRUE,allochrocebus,cercopithecidae,primates,mammalia,Allochrocebus preussi preussi,"NA"
allochrocebus solatus,147650,TRUE,allochrocebus,cercopithecidae,primates,mammalia,"Allochrocebus solatus, Cercopithecus solatus","NA"
allochrocebus solatus,NA,TRUE,allochrocebus,cercopithecidae,primates,mammalia,Cercopithecus solatus,Cercopithecus solatus
allocricetulus eversmanni,329634,TRUE,allocricetulus,cricetidae,rodentia,mammalia,Allocricetulus eversmanni,"NA"
alopochen aegyptiaca,30382,TRUE,alopochen,anatidae,anseriformes,aves,"Alopochen aegyptiacus, Alopochen aegyptiaca","Alopochen aegyptiacus, NA"
alouatta belzebul,30590,TRUE,alouatta,atelidae,primates,mammalia,Alouatta belzebul,"NA"
alouatta belzebul,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta belzebul,"Simia beelzebub, Mycetes flavimanus, Mycetes rufimanus, Alouatta belzebul tapojozensis, Mycetes belzebul mexianae"
alouatta caraya,9502,TRUE,alouatta,atelidae,primates,mammalia,Alouatta caraya,"NA"
alouatta caraya,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta caraya,"Mycetes barbatus, Stentor niger, Simia straminea"
alouatta guariba,182256,TRUE,alouatta,atelidae,primates,mammalia,Alouatta guariba,"NA"
alouatta guariba,183328,TRUE,alouatta,atelidae,primates,mammalia,Alouatta guariba clamitans,"NA"
alouatta guariba,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta guariba,"NA"
alouatta macconnelli,198115,TRUE,alouatta,atelidae,primates,mammalia,Alouatta macconnelli,"NA"
alouatta palliata,30589,TRUE,alouatta,atelidae,primates,mammalia,Alouatta palliata,"NA"
alouatta palliata,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta palliata,"Alouatta aequatorialis, Alouatta inclamax, Mycetes niger, Alouatta palliata inconsonans, Alouatta palliata quichua, Alouatta palliata matagalpae"
alouatta pigra,182253,TRUE,alouatta,atelidae,primates,mammalia,Alouatta pigra,"NA"
alouatta pigra,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta pigra,"Mycetes villosus, Alouatta palliata luctuosa"
alouatta sara,121123,TRUE,alouatta,atelidae,primates,mammalia,Alouatta sara,"NA"
alouatta seniculus,9503,TRUE,alouatta,atelidae,primates,mammalia,Alouatta seniculus,"NA"
alouatta seniculus,NA,TRUE,alouatta,atelidae,primates,mammalia,Alouatta seniculus,"NA"
alticola argentatus,400184,TRUE,alticola,cricetidae,rodentia,mammalia,Alticola argentatus,"NA"
alticola argentatus,NA,TRUE,alticola,cricetidae,rodentia,mammalia,Alticola argentatus,"Microtus argurus, Arvicola blanfordi, Alticola gracilis, Alticola longicauda, Alticola phasma, Arvicola severtzovi, Alticola villosa, Alticola worthingtoni, Alticola blanfordi lahulius, Alticola argentata rosanovi, Alticola argentata shnitnikovi, Alticola worthingtoni subluteus"
alytes obstetricans,8443,TRUE,alytes,alytidae,anura,amphibia,Alytes obstetricans,"NA, Bufo obstetricans, Bombinator obstetricans, Rana obstetricans, Obstetricans vulgaris, Alytes obstetricans boscai, Alytes campanisonus boscai, Alytes obstetricans almogavarii, Alytes obstetricans pertinax"
amandava amandava,247729,TRUE,amandava,estrildidae,passeriformes,aves,Amandava amandava,"NA"
amaurornis phoenicurus,261959,TRUE,amaurornis,rallidae,gruiformes,aves,Amaurornis phoenicurus,"NA"
amazona aestiva,12930,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona aestiva,"NA"
amazona albifrons,241569,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona albifrons,"NA"
amazona amazonica,151758,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona amazonica,"NA"
amazona arausiaca,241563,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona arausiaca,"NA"
amazona auropalliata,152277,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona auropalliata,"NA"
amazona autumnalis,151759,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona autumnalis,"NA"
amazona barbadensis,229553,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona barbadensis,"NA"
amazona brasiliensis,244070,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona brasiliensis,"NA"
amazona farinosa,151760,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona farinosa,"NA"
amazona festiva,244075,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona festiva,"NA"
amazona finschi,241578,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona finschi,Amazona finschia
amazona leucocephala,241562,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona leucocephala,"NA"
amazona ochrocephala,151761,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona ochrocephala,"NA"
amazona ochrocephala,151762,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona ochrocephala auropalliata,"NA"
amazona ochrocephala,151766,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona ochrocephala panamensis,"NA"
amazona oratrix,152276,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona oratrix,"NA"
amazona pretrei,244081,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona pretrei,"NA"
amazona rhodocorytha,244082,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona rhodocorytha,"NA"
amazona ventralis,57393,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona ventralis,"NA"
amazona versicolor,241584,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona versicolor,"NA"
amazona vinacea,244084,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona vinacea,"NA"
amazona viridigenalis,229552,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona viridigenalis,"NA"
amazona xantholora,1209394,TRUE,amazona,psittacidae,psittaciformes,aves,Amazona xantholora,"NA"
ambloplites ariommus,270327,TRUE,ambloplites,centrarchidae,centrarchiformes,actinopteri,Ambloplites ariommus,"NA"
ambloplites rupestris,109273,TRUE,ambloplites,centrarchidae,centrarchiformes,actinopteri,Ambloplites rupestris,"NA"
ambloplites rupestris,109273,TRUE,ambloplites,centrarchidae,centrarchiformes,actinopterygii,Ambloplites rupestris,"NA"
amblycercus holosericeus,84791,TRUE,amblycercus,icteridae,passeriformes,aves,Amblycercus holosericeus,"NA"
amblygaster clupeoides,392305,TRUE,amblygaster,clupeidae,clupeiformes,actinopteri,Amblygaster clupeoides,"NA"
amblygaster leiogaster,1411162,TRUE,amblygaster,clupeidae,clupeiformes,actinopteri,Amblygaster leiogaster,"NA"
ambystoma maculatum,43114,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma maculatum,"Lacerta maculatum, Lacerta subviolacea, Lacerta maculata, Salamandra venenosa, Salamandra maculata, Salamandra subviolacea, Ambystoma subviolaceum, Salamandroidis subviolacea, Siredon maculatus, Ambystoma carolinae, Salamandra argus, Ambystome argus, Salamandra margaritifera, Camarataxis maculata, Ambystoma carolina, NA"
ambystoma mavortium,215237,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma mavortium stebbinsi,"NA"
ambystoma mavortium,2511205,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma mavortium,"Ambystoma tigrinum diaboli, Ambystoma tigrinum mavortium, Ambystoma mavortia, Ambystoma tigrinum melanostictum, Siredon lichenoides melanostictum, Ambystoma tigrinum nebulosum, Ambystoma nebulosum, Ambystoma tigrinum stebbinsi, Ambystoma mavortium nebulosum, Ambystoma mavortium diaboli, Ambystoma mavortium melanostictum, Ambystoma mavortium stebbinsi, Ambystoma mavortium mavortium, Ambystoma proserpine, Siredon lichenoides, Amblystoma prosperpine, Siredon melanostica, Amblystoma mavortium, Amblystoma trisruptum, Sirenodon lichenoides, Ambystoma tigrinum slateri, Ambystoma tigrinum proserpine, Ambystoma tigrinum utahense, NA"
ambystoma mexicanum,8296,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma mexicanum,"Gyrinus mexicanus, Siren pisciformis, Triton mexicanus, Philhydrus pisciformis, Hypochton pisciformis, Siredon axolotl, Axolotus pisciformis, Sirenodon pisciformis, Stegoporus pisciformis, Stegoporus mexicanum, Hemitriton mexicanum, Axolotes guttata, Siren axolotl, Amblystoma weismanni, Siredon edule, NA"
ambystoma opacum,43115,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma opacum,"Salamandra opaca, NA"
ambystoma talpoideum,8306,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma talpoideum,"Salamandra talpoidea, Amblystoma talpoideum, NA"
ambystoma tigrinum,8305,TRUE,ambystoma,ambystomatidae,caudata,amphibia,Ambystoma tigrinum,"Ambystoma tigrinum tigrinum, Salamandra tigrina, Ambystoma tigrinum tigrinum, Salamandra tigrina, Siren operculata, Proteus neocaesariensis, Axolotus philadelphicus, Salamandra ingens, Salamandra lurida, Triton tigrinus, Triton ingens, Ambystoma tigrina, Ambystoma lurida, Ambystoma episcopus, Heterotriton ingens, Siredon harlanii, Ambistoma tigrinum, Ambystoma bicolor, Ambystoma ingens, Amblystoma obscurum, Amblystoma xiphias, Amblystoma tigrinum, Amblystoma bicolor, Amblystoma copeianum, Ambystoma sopeanum, Ambystoma conspersum, NA"
ameiurus melas,219545,TRUE,ameiurus,ictaluridae,siluriformes,actinopteri,Ameiurus melas,"NA"
ameiurus melas,219545,TRUE,ameiurus,ictaluridae,siluriformes,actinopterygii,Ameiurus melas,Ictalurus melas
ameiurus nebulosus,27778,TRUE,ameiurus,ictaluridae,siluriformes,actinopteri,Ameiurus nebulosus,"NA"
ameiurus nebulosus,27778,TRUE,ameiurus,ictaluridae,siluriformes,actinopterygii,Ameiurus nebulosus,Ictalurus nebulosus
ameiva ameiva,8535,TRUE,ameiva,teiidae,squamata,lepidosauria,Ameiva ameiva,"NA"
ammodytes hexapterus,476914,TRUE,ammodytes,ammodytidae,uranoscopiformes,actinopterygii,Ammodytes hexapterus,Ammodytes alascanus
ammodytes personatus,215382,TRUE,ammodytes,ammodytidae,uranoscopiformes,actinopteri,Ammodytes personatus,"NA"
ammodytes personatus,215382,TRUE,ammodytes,ammodytidae,uranoscopiformes,actinopterygii,Ammodytes personatus,"NA"
ammospermophilus nelsoni,2502157,TRUE,ammospermophilus,sciuridae,rodentia,mammalia,Ammospermophilus nelsoni,"NA"
