HostTaxID,Host,HostGenus,HostFamily,HostOrder,HostClass,HostNCBIResolved
10040,,peromyscus,cricetidae,rodentia,mammalia,TRUE
10045,,,muridae,rodentia,mammalia,TRUE
10069,,akodon,cricetidae,rodentia,mammalia,TRUE
10084,,cricetomys,nesomyidae,rodentia,mammalia,TRUE
10088,,mus,muridae,rodentia,mammalia,TRUE
10111,,praomys,muridae,rodentia,mammalia,TRUE
10114,,rattus,muridae,rodentia,mammalia,TRUE
10135,,,hystricidae,rodentia,mammalia,TRUE
101675,,heteromys,heteromyidae,rodentia,mammalia,TRUE
109484,,hypsugo,vespertilionidae,chiroptera,mammalia,TRUE
112225,,malacomys,muridae,rodentia,mammalia,TRUE
1188033,,chelidoperca,serranidae,perciformes,actinopteri,TRUE
124754,,,rhinopomatidae,chiroptera,mammalia,TRUE
128149,,sylvisorex,soricidae,eulipotyphla,mammalia,TRUE
1526411,,mareca,anatidae,anseriformes,aves,TRUE
153296,,scotophilus,vespertilionidae,chiroptera,mammalia,TRUE
163860,,pudu,cervidae,artiodactyla,mammalia,TRUE
172679,,chlamydotis,otididae,otidiformes,aves,TRUE
186994,,,hipposideridae,chiroptera,mammalia,TRUE
204266,,melogale,mustelidae,carnivora,mammalia,TRUE
2068716,,,anatidae,anseriformes,aves,TRUE
210425,,proteus,proteidae,caudata,amphibia,TRUE
218788,,juliomys,cricetidae,rodentia,mammalia,TRUE
258862,,mops,molossidae,chiroptera,mammalia,TRUE
258954,,scotoecus,vespertilionidae,chiroptera,mammalia,TRUE
27659,,sturnira,phyllostomidae,chiroptera,mammalia,TRUE
27671,,pipistrellus,vespertilionidae,chiroptera,mammalia,TRUE
29075,,macroglossus,pteropodidae,chiroptera,mammalia,TRUE
30560,,,,chiroptera,mammalia,TRUE
30577,,,erinaceidae,eulipotyphla,mammalia,TRUE
30639,,mastomys,muridae,rodentia,mammalia,TRUE
30650,,,gliridae,rodentia,mammalia,TRUE
314293,,,,primates,mammalia,TRUE
33550,,,,rodentia,mammalia,TRUE
3371007,,eptesicus,vespertilionidae,chiroptera,mammalia,TRUE
34857,,hylomyscus,muridae,rodentia,mammalia,TRUE
36211,,trachurus,carangidae,carangiformes,actinopteri,TRUE
36291,,,muscicapidae,passeriformes,aves,TRUE
36294,,,pycnonotidae,passeriformes,aves,TRUE
36297,,,zosteropidae,passeriformes,aves,TRUE
36801,,crocidura,soricidae,eulipotyphla,mammalia,TRUE
37577,,morus,sulidae,suliformes,aves,TRUE
379583,,,,carnivora,mammalia,TRUE
38664,,chaetodipus,heteromyidae,rodentia,mammalia,TRUE
38771,,gopherus,testudinidae,testudines,,TRUE
40236,,,phyllostomidae,chiroptera,mammalia,TRUE
40674,,,,,mammalia,TRUE
41262,,tatera,muridae,rodentia,mammalia,TRUE
42407,,neotoma,cricetidae,rodentia,mammalia,TRUE
42414,,sigmodon,cricetidae,rodentia,mammalia,TRUE
466544,,,phasianidae,galliformes,aves,TRUE
49442,,rhinolophus,rhinolophidae,chiroptera,mammalia,TRUE
51347,,lophuromys,muridae,rodentia,mammalia,TRUE
56259,,,accipitridae,accipitriformes,aves,TRUE
568926,,neoromicia,vespertilionidae,chiroptera,mammalia,TRUE
58066,,epomophorus,pteropodidae,chiroptera,mammalia,TRUE
58068,,hipposideros,hipposideridae,chiroptera,mammalia,TRUE
58086,,thoopterus,pteropodidae,chiroptera,mammalia,TRUE
59447,,,nycteridae,chiroptera,mammalia,TRUE
59466,,nycteris,nycteridae,chiroptera,mammalia,TRUE
60461,,agapornis,psittacidae,psittaciformes,aves,TRUE
649456,,trioceros,chamaeleonidae,squamata,lepidosauria,TRUE
723807,,cuniculus,cuniculidae,rodentia,mammalia,TRUE
77236,,myonycteris,pteropodidae,chiroptera,mammalia,TRUE
8166,,perca,percidae,perciformes,actinopteri,TRUE
8266,,hippoglossus,pleuronectidae,pleuronectiformes,actinopteri,TRUE
8292,,,,,amphibia,TRUE
8342,,,,anura,amphibia,TRUE
8487,,,testudinidae,testudines,,TRUE
8507,,sphenodon,sphenodontidae,sphenodontia,lepidosauria,TRUE
8570,,,,squamata,lepidosauria,TRUE
86974,,testudo,testudinidae,testudines,,TRUE
8782,,,,,aves,TRUE
8830,,,anatidae,anseriformes,aves,TRUE
8835,,anas,anatidae,anseriformes,aves,TRUE
8842,,anser,anatidae,anseriformes,aves,TRUE
8888,,tadorna,anatidae,anseriformes,aves,TRUE
8899,,,ardeidae,pelecaniformes,aves,TRUE
8911,,larus,laridae,charadriiformes,aves,TRUE
8930,,,columbidae,columbiformes,aves,TRUE
8931,,columba,columbidae,columbiformes,aves,TRUE
8952,,falco,falconidae,falconiformes,aves,TRUE
8976,,,,galliformes,aves,TRUE
8990,,,numididae,galliformes,aves,TRUE
9005,,,phasianidae,galliformes,aves,TRUE
9030,,gallus,phasianidae,galliformes,aves,TRUE
9072,,,phasianidae,galliformes,aves,TRUE
9126,,,,passeriformes,aves,TRUE
9158,,,passeridae,passeriformes,aves,TRUE
91780,,ramphastos,ramphastidae,piciformes,aves,TRUE
9181,,phylloscopus,phylloscopidae,passeriformes,aves,TRUE
9183,,,turdidae,passeriformes,aves,TRUE
9215,,,phoenicopteridae,phoenicopteriformes,aves,TRUE
9223,,,,psittaciformes,aves,TRUE
9224,,,psittacidae,psittaciformes,aves,TRUE
9231,,,spheniscidae,sphenisciformes,aves,TRUE
9376,,,soricidae,eulipotyphla,mammalia,TRUE
9397,,,,chiroptera,mammalia,TRUE
9406,,rousettus,pteropodidae,chiroptera,mammalia,TRUE
9431,,,vespertilionidae,chiroptera,mammalia,TRUE
9432,,miniopterus,miniopteridae,chiroptera,mammalia,TRUE
9434,,myotis,vespertilionidae,chiroptera,mammalia,TRUE
9436,,,molossidae,chiroptera,mammalia,TRUE
9437,,tadarida,molossidae,chiroptera,mammalia,TRUE
9443,,,,primates,mammalia,TRUE
9445,,,lemuridae,primates,mammalia,TRUE
9539,,macaca,cercopithecidae,primates,mammalia,TRUE
9577,,,hylobatidae,primates,mammalia,TRUE
9592,,gorilla,hominidae,primates,mammalia,TRUE
9599,,pongo,hominidae,primates,mammalia,TRUE
9605,,homo,hominidae,primates,mammalia,TRUE
9608,,,canidae,carnivora,mammalia,TRUE
9611,,canis,canidae,carnivora,mammalia,TRUE
9625,,vulpes,canidae,carnivora,mammalia,TRUE
9645,,ailuropoda,ursidae,carnivora,mammalia,TRUE
9655,,,mustelidae,carnivora,mammalia,TRUE
9673,,,viverridae,carnivora,mammalia,TRUE
9702,,,otariidae,carnivora,mammalia,TRUE
9723,,,platanistidae,artiodactyla,mammalia,TRUE
9789,,equus,equidae,perissodactyla,mammalia,TRUE
9800,,tapirus,tapiridae,perissodactyla,mammalia,TRUE
9821,,,suidae,artiodactyla,mammalia,TRUE
9836,,camelus,camelidae,artiodactyla,mammalia,TRUE
9850,,,cervidae,artiodactyla,mammalia,TRUE
9895,,,bovidae,artiodactyla,mammalia,TRUE
9900,,bison,bovidae,artiodactyla,mammalia,TRUE
9971,,,,pholidota,mammalia,TRUE
9975,,,,lagomorpha,mammalia,TRUE
9979,,,leporidae,lagomorpha,mammalia,TRUE
9989,,,,rodentia,mammalia,TRUE
57775,,acanthemblemaria,chaenopsidae,blenniiformes,actinopteri,TRUE
8295,,ambystoma,ambystomatidae,caudata,amphibia,TRUE
9499,,alouatta,atelidae,primates,mammalia,TRUE
9788,,,equidae,perissodactyla,mammalia,TRUE
9682,,felis,felidae,carnivora,mammalia,TRUE
119825,,,mephitidae,carnivora,mammalia,TRUE
125862,,copsychus,muscicapidae,passeriformes,aves,TRUE
13124,,lynx,felidae,carnivora,mammalia,TRUE
164646,,,icteridae,passeriformes,aves,TRUE
172412,,sialia,turdidae,passeriformes,aves,TRUE
198026,,melanitta,anatidae,anseriformes,aves,TRUE
2558200,,,,accipitriformes,aves,TRUE
2607033,,,apodidae,apodiformes,aves,TRUE
28725,,,corvidae,passeriformes,aves,TRUE
30384,,aythya,anatidae,anseriformes,aves,TRUE
30396,,buteo,accipitridae,accipitriformes,aves,TRUE
30420,,corvus,corvidae,passeriformes,aves,TRUE
30444,,,pelecanidae,pelecaniformes,aves,TRUE
30447,,,,podicipediformes,aves,TRUE
30459,,,strigidae,strigiformes,aves,TRUE
30460,,bubo,strigidae,strigiformes,aves,TRUE
3072905,,,,carnivora,mammalia,TRUE
32638,,numenius,scolopacidae,charadriiformes,aves,TRUE
33574,,,threskiornithidae,pelecaniformes,aves,TRUE
33617,,pelecanus,pelecanidae,pelecaniformes,aves,TRUE
35549,,,cacatuidae,psittaciformes,aves,TRUE
36242,,streptopelia,columbidae,columbiformes,aves,TRUE
37056,,macronectes,procellariidae,procellariiformes,aves,TRUE
52791,,luscinia,turdidae,passeriformes,aves,TRUE
69507,,muscicapa,muscicapidae,passeriformes,aves,TRUE
70608,,sterna,laridae,charadriiformes,aves,TRUE
8796,,rhea,rheidae,rheiformes,aves,TRUE
8798,,,,struthioniformes,aves,TRUE
8800,,struthio,struthionidae,struthioniformes,aves,TRUE
8826,,,,anseriformes,aves,TRUE
8867,,cygnus,anatidae,anseriformes,aves,TRUE
8877,,mergus,anatidae,anseriformes,aves,TRUE
8900,,nycticorax,ardeidae,pelecaniformes,aves,TRUE
8906,,,,charadriiformes,aves,TRUE
8910,,,laridae,charadriiformes,aves,TRUE
8917,,,scolopacidae,charadriiformes,aves,TRUE
8918,,calidris,scolopacidae,charadriiformes,aves,TRUE
8929,,,,columbiformes,aves,TRUE
8995,,numida,numididae,galliformes,aves,TRUE
9048,,pavo,phasianidae,galliformes,aves,TRUE
9090,,coturnix,phasianidae,galliformes,aves,TRUE
9102,,meleagris,phasianidae,galliformes,aves,TRUE
9109,,,gruidae,gruiformes,aves,TRUE
9119,,,rallidae,gruiformes,aves,TRUE
9120,,fulica,rallidae,gruiformes,aves,TRUE
9122,,gallinula,rallidae,gruiformes,aves,TRUE
9133,,,fringillidae,passeriformes,aves,TRUE
9170,,,sturnidae,passeriformes,aves,TRUE
9193,,,laniidae,passeriformes,aves,TRUE
9206,,,phalacrocoracidae,suliformes,aves,TRUE
