original,name,type,taxid,fuzzy,different
Abrornis inornata,Amblyornis inornata,host,2699200,true,true
Abrornis proregulus,Phylloscopus proregulus,host,56435,false,true
Abrothrix longipilis,Abrothrix longipilis,host,29094,false,false
Abrothrix olivaceus,Abrothrix olivaceus,host,29098,false,false
Abrothrix sanborni,Abrothrix sanborni,host,682468,false,false
Acanthis flammea,Acanthis flammea,host,54769,false,false
Acanthophis antarcticus,Acanthophis antarcticus,host,8605,false,false
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,host,266336,false,false
Accipiter cooperii,Accipiter cooperii,host,261198,false,false
Accipiter fasciatus,Erythrotriorchis radiatus,host,1458045,true,true
Accipiter gentilis,Accipiter gentilis,host,8957,false,false
Accipiter gularis,Accipiter gularis,host,258530,false,false
Accipiter nisus,Accipiter nisus,host,211598,false,false
Accipiter striatus,Accipiter striatus,host,56330,false,false
Accipiter trivirgatus,Accipiter trivirgatus,host,210844,false,false
Acerodon celebensis,Acerodon celebensis,host,58057,false,false
Acinonyx jubatus,Acinonyx jubatus,host,32536,false,false
Acomys cahirinus,Acomys cahirinus,host,10068,false,false
Acomys dimidiatus,Acomys dimidiatus,host,60744,false,false
Acomys selousi,Acomys minous,host,83528,true,true
Acomys subspinosus,Acomys subspinosus,host,81631,false,false
Acomys wilsoni,Acomys wilsoni,host,37436,false,false
Acrantophis dumerili,Acrantophis dumerili,host,51850,false,false
Acridotheres cristatellus,Acridotheres cristatellus,host,451382,false,false
Acridotheres fuscus,Acridotheres fuscus,host,245038,false,false
Acridotheres tristis,Acridotheres tristis,host,279927,false,false
Acrocephalus dumetorum,Acrocephalus dumetorum,host,68474,false,false
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,host,52609,false,false
Acrocephalus scirpaceus,Acrocephalus scirpaceus,host,48156,false,false
Actitis macularia,Actitis macularia,host,190659,false,false
Addax nasomaculatus,Addax nasomaculatus,host,59515,false,false
Aechmophorus occidentalis,Aechmophorus occidentalis,host,57236,false,false
Aegithalos caudatus,Aegithalos caudatus,host,73327,false,false
Aegypius monachus,Aegypius monachus,host,8959,false,false
Aeorestes cinereus,Aeorestes cinereus,host,257879,false,false
Aepyceros melampus,Aepyceros melampus,host,9897,false,false
Aethomys chrysophilus,Aethomys chrysophilus,host,121561,false,false
Aethomys hindei,Aethomys hindei,host,1416742,false,false
Aethomys ineptus,Aethomys ineptus,host,284517,false,false
Aethomys kaiseri,Aethomys kaiseri,host,253247,false,false
Agama agama,Agama agama,host,103336,false,false
Agamia agami,Agamia agami,host,706245,false,false
Agapornis fischeri,Agapornis fischeri,host,60463,false,false
Agapornis nigrigenis,Agapornis nigrigenis,host,60465,false,false
Agapornis personatus,Agapornis personatus,host,60466,false,false
Agapornis roseicollis,Agapornis roseicollis,host,60468,false,false
Agelaius phoeniceus,Agelaius phoeniceus,host,39638,false,false
Agropsar sturninus,Agropsar sturninus,host,2675479,false,false
Ailuropoda melanoleuca,Ailuropoda melanoleuca,host,9646,false,false
Ailurus fulgens,Ailurus fulgens,host,9649,false,false
Aix galericulata,Aix galericulata,host,8832,false,false
Aix sponsa,Aix sponsa,host,8833,false,false
Akodon azarae,Akodon azarae,host,29095,false,false
Akodon cursor,Akodon cursor,host,29096,false,false
Akodon montensis,Akodon montensis,host,106112,false,false
Akodon paranaensis,Akodon paranaensis,host,230113,false,false
Akodon serrensis,Akodon serrensis,host,106114,false,false
Akodon simulator,Akodon simulator,host,484371,false,false
Akodon varius,Akodon varius,host,140762,false,false
Alcelaphus buselaphus,Alcelaphus buselaphus,host,59517,false,false
Alces alces,Alces alces,host,9852,false,false
Alces americanus,Alces americanus,host,999462,false,false
Alectoris chukar,Alectoris chukar,host,9078,false,false
Alectoris graeca,Alectoris graeca,host,40178,false,false
Alectoris rufa,Alectoris rufa,host,9079,false,false
Alisterus amboinensis,Alisterus amboinensis,host,309870,false,false
Alisterus scapularis,Alisterus scapularis,host,458117,false,false
Allactaga sibirica,Orientallactaga sibirica,host,234626,false,true
Allenopithecus nigroviridis,Allenopithecus nigroviridis,host,54135,false,false
Allochrocebus lhoesti,Allochrocebus lhoesti,host,100224,false,false
Allochrocebus preussi,Allochrocebus preussi,host,147649,false,false
Allochrocebus solatus,Allochrocebus solatus,host,147650,false,false
Allocricetulus eversmanni,Allocricetulus eversmanni,host,329634,false,false
Alopecurus myosuroides,Anoplocapros amygdaloides,host,1240559,true,true
Alopecurus pratensis,Apodemus agrarius,host,39030,true,true
Alopochen aegyptiaca,Alopochen aegyptiaca,host,30382,false,false
Alouatta belzebul,Alouatta belzebul,host,30590,false,false
Alouatta caraya,Alouatta caraya,host,9502,false,false
Alouatta guariba,Alouatta guariba,host,182256,false,false
Alouatta macconnelli,Alouatta macconnelli,host,198115,false,false
Alouatta palliata,Alouatta palliata,host,30589,false,false
Alouatta pigra,Alouatta pigra,host,182253,false,false
Alouatta sara,Alouatta sara,host,121123,false,false
Alouatta seniculus,Alouatta seniculus,host,9503,false,false
Althaea officinalis,Scincus scincus,host,155317,true,true
Alticola argentatus,Alticola argentatus,host,400184,false,false
Alytes obstetricans,Alytes obstetricans,host,8443,false,false
Amandava amandava,Amandava amandava,host,247729,false,false
Amaurornis phoenicurus,Amaurornis phoenicurus,host,261959,false,false
Amazona aestiva,Amazona aestiva,host,12930,false,false
Amazona albifrons,Amazona albifrons,host,241569,false,false
Amazona amazonica,Amazona amazonica,host,151758,false,false
Amazona arausiaca,Amazona arausiaca,host,241563,false,false
Amazona auropalliata,Amazona auropalliata,host,152277,false,false
Amazona autumnalis,Amazona autumnalis,host,151759,false,false
Amazona barbadensis,Amazona barbadensis,host,229553,false,false
Amazona farinosa,Amazona farinosa,host,151760,false,false
Amazona festiva,Amazona festiva,host,244075,false,false
Amazona leucocephala,Amazona leucocephala,host,241562,false,false
Amazona ochrocephala,Amazona ochrocephala,host,151761,false,false
Amazona oratrix,Amazona oratrix,host,152276,false,false
Amazona rhodocorytha,Amazona rhodocorytha,host,244082,false,false
Amazona ventralis,Amazona ventralis,host,57393,false,false
Amazona vinacea,Amazona vinacea,host,244084,false,false
Amazona viridigenalis,Amazona viridigenalis,host,229552,false,false
Amazona xantholora,Amazona xantholora,host,1209394,false,false
Ambystoma maculatum,Ambystoma maculatum,host,43114,false,false
Ambystoma mavortium,Ambystoma mavortium,host,2511205,false,false
Ambystoma mexicanum,Ambystoma mexicanum,host,8296,false,false
Ambystoma opacum,Ambystoma opacum,host,43115,false,false
Ambystoma tigrinum,Ambystoma tigrinum,host,8305,false,false
Ameiva ameiva,Ameiva ameiva,host,8535,false,false
Ammospermophilus nelsoni,Ammospermophilus nelsoni,host,2502157,false,false
Ammotragus lervia,Ammotragus lervia,host,9899,false,false
Anas acuta,Anas acuta,host,28680,false,false
Anas bahamensis,Anas bahamensis,host,75834,false,false
Anas capensis,Anas capensis,host,8837,false,false
Anas carolinensis,Anas carolinensis,host,75836,false,false
Anas castanea,Anas castanea,host,45631,false,false
Anas clypeata,Anas clypeata,host,75838,false,false
Anas crecca,Anas crecca,host,75839,false,false
Anas cyanoptera,Anas cyanoptera,host,75840,false,false
Anas diazi,Anas diazi,host,75841,false,false
Anas discors,Anas discors,host,75842,false,false
Anas erythrorhyncha,Anas erythrorhyncha,host,75843,false,false
Anas flavirostris,Anas flavirostris,host,75845,false,false
Anas fulvigula,Anas fulvigula,host,75846,false,false
Anas georgica,Anas georgica,host,75847,false,false
Anas gracilis,Anas gracilis,host,45630,false,false
Anas melleri,Anas melleri,host,75852,false,false
Anas platalea,Anas platalea,host,75853,false,false
Anas platyrhynchos,Anas platyrhynchos,host,8839,false,false
Anas poecilorhyncha,Anas poecilorhyncha,host,75854,false,false
Anas puna,Anas puna,host,75855,false,false
Anas querquedula,Anas querquedula,host,75856,false,false
Anas rubripes,Anas rubripes,host,75857,false,false
Anas smithii,Anas smithii,host,75859,false,false
Anas superciliosa,Anas superciliosa,host,45632,false,false
Anas undulata,Anas undulata,host,75862,false,false
Anas versicolor,Anas versicolor,host,75863,false,false
Anastomus oscitans,Anastomus oscitans,host,1706835,false,false
Anaxyrus boreas,Anaxyrus boreas,host,30325,false,false
Andrias davidianus,Andrias davidianus,host,141262,false,false
Anodorhynchus hyacinthinus,Anodorhynchus hyacinthinus,host,51900,false,false
Anolis allogus,Anolis allogus,host,141892,false,false
Anolis carolinensis,Anolis carolinensis,host,28377,false,false
Anolis distichus,Anolis distichus,host,38893,false,false
Anolis sagrei,Anolis sagrei,host,38937,false,false
