original,name,type,taxid,fuzzy,different
Anoura caudifer,Anoura caudifer,host,27642,false,false
Anoura geoffroyi,Anoura geoffroyi,host,148021,false,false
Anourosorex squamipes,Anourosorex squamipes,host,127560,false,false
Anourosorex yamashinai,Anourosorex yamashinai,host,268756,false,false
Anous tenuirostris,Anous tenuirostris,host,297803,false,false
Anser albifrons,Anser albifrons,host,50365,false,false
Anser anser,Anser anser,host,8843,false,false
Anser brachyrhynchus,Anser brachyrhynchus,host,132585,false,false
Anser caerulescens,Anser caerulescens,host,8849,false,false
Anser canagica,Anser canagica,host,107021,false,false
Anser cygnoides,Anser cygnoides,host,8845,false,false
Anser erythropus,Anser erythropus,host,132586,false,false
Anser fabalis,Anser fabalis,host,132587,false,false
Anser indicus,Anser indicus,host,8846,false,false
Antaresia maculosa,Antaresia maculosa,host,51891,false,false
Antaresia perthensis,Antaresia perthensis,host,461324,false,false
Antaresia stimsoni,Antaresia stimsoni,host,461325,false,false
Anthochaera chrysoptera,Anthochaera chrysoptera,host,266367,false,false
Anthropoides paradiseus,Anthropoides paradiseus,host,1171711,false,false
Anthus berthelotii,Anthus berthelotii,host,45798,false,false
Anthus rufulus,Anthus rufulus,host,1463608,false,false
Antidorcas marsupialis,Antidorcas marsupialis,host,59523,false,false
Antigone canadensis,Antigone canadensis,host,1977160,false,false
Antigone vipio,Antigone vipio,host,2717088,false,false
Antilocapra americana,Antilocapra americana,host,9891,false,false
Antilope cervicapra,Antilope cervicapra,host,59525,false,false
Antrostomus carolinensis,Antrostomus carolinensis,host,279965,false,false
Antrozous pallidus,Antrozous pallidus,host,9440,false,false
Aonyx cinereus,Aonyx cinereus,host,452597,false,false
Aotus azarae,Aotus azarai,host,30591,false,true
Aotus azarai,Aotus azarai,host,30591,false,false
Aotus griseimembra,Aotus griseimembra,host,292213,false,false
Aotus nancymaae,Aotus nancymaae,host,37293,false,false
Aotus trivirgatus,Aotus trivirgatus,host,9505,false,false
Aotus vociferans,Aotus vociferans,host,57176,false,false
Aphelocoma californica,Aphelocoma californica,host,142466,false,false
Apodemus agrarius,Apodemus agrarius,host,39030,false,false
Apodemus argenteus,Apodemus argenteus,host,61837,false,false
Apodemus chevrieri,Apodemus chevrieri,host,129246,false,false
Apodemus draco,Apodemus draco,host,129247,false,false
Apodemus flavicollis,Apodemus flavicollis,host,54292,false,false
Apodemus latronum,Apodemus latronum,host,214933,false,false
Apodemus mystacinus,Apodemus mystacinus,host,100382,false,false
Apodemus pallipes,Apodemus pallipes,host,262051,false,false
Apodemus peninsulae,Apodemus peninsulae,host,105297,false,false
Apodemus ponticus,Apodemus ponticus,host,134909,false,false
Apodemus speciosus,Apodemus speciosus,host,105296,false,false
Apodemus sylvaticus,Apodemus sylvaticus,host,10129,false,false
Apodemus uralensis,Apodemus uralensis,host,134910,false,false
Aprosmictus erythropterus,Aprosmictus erythropterus,host,274068,false,false
Aptenodytes patagonicus,Aptenodytes patagonicus,host,9234,false,false
Apteryx rowi,Apteryx rowi,host,308060,false,false
Aquila adalberti,Aquila adalberti,host,52408,false,false
Aquila audax,Aquila audax,host,8961,false,false
Aquila chrysaetos,Aquila chrysaetos,host,8962,false,false
Aquila heliaca,Aquila heliaca,host,52410,false,false
Ara ambiguus,Ara ambiguus,host,467031,false,false
Ara ararauna,Ara ararauna,host,9226,false,false
Ara chloropterus,Ara chloropterus,host,176013,false,false
Ara glaucogularis,Ara glaucogularis,host,303304,false,false
Ara macao,Ara macao,host,176014,false,false
Ara militaris,Ara militaris,host,57237,false,false
Ara rubrogenys,Ara rubrogenys,host,467030,false,false
Ara severus,Ara severus,host,178883,false,false
Aratinga jandaya,Aratinga jandaya,host,231027,false,false
Aratinga nenday,Aratinga nenday,host,51908,false,false
Aratinga solstitialis,Aratinga solstitialis,host,176015,false,false
Arctocephalus australis,Arctocephalus australis,host,161928,false,false
Arctocephalus forsteri,Arctocephalus forsteri,host,29084,false,false
Arctocephalus galapagoensis,Arctocephalus galapagoensis,host,30584,false,false
Arctocephalus gazella,Arctocephalus gazella,host,37190,false,false
Arctocephalus tropicalis,Arctocephalus tropicalis,host,37194,false,false
Ardea alba,Ardea alba,host,110620,false,false
Ardea cinerea,Ardea cinerea,host,30390,false,false
Ardea herodias,Ardea herodias,host,56072,false,false
Ardenna carneipes,Ardenna carneipes,host,1934105,false,false
Ardenna pacifica,Ardenna pacifica,host,48683,false,false
Ardeola bacchus,Ardeola bacchus,host,188375,false,false
Ardeola grayii,Ardeola grayii,host,1158920,false,false
Arenaria interpres,Arenaria interpres,host,54971,false,false
Arremon taciturnus,Arremon taciturnus,host,1109026,false,false
Artibeus fimbriatus,Artibeus fimbriatus,host,51010,false,false
Artibeus glaucus,Artibeus glaucus,host,40226,false,false
Artibeus jamaicensis,Artibeus jamaicensis,host,9417,false,false
Artibeus lituratus,Artibeus lituratus,host,27634,false,false
Artibeus obscurus,Artibeus obscurus,host,40228,false,false
Artibeus phaeotis,Artibeus phaeotis,host,40229,false,false
Artibeus planirostris,Artibeus planirostris,host,40230,false,false
Arvicanthis neumanni,Arvicanthis neumanni,host,121563,false,false
Arvicanthis niloticus,Arvicanthis niloticus,host,61156,false,false
Arvicola amphibius,Arvicola amphibius,host,1047088,false,false
Arvicola scherman,Arvicola scherman,host,1276134,false,false
Aselliscus stoliczkanus,Aselliscus stoliczkanus,host,188568,false,false
Asio flammeus,Asio flammeus,host,56267,false,false
Asio otus,Asio otus,host,111810,false,false
Aspidites melanocephalus,Aspidites melanocephalus,host,51883,false,false
Aspidites ramsayi,Aspidites ramsayi,host,461326,false,false
Aster alpinus,Sorex alpinus,host,62902,true,true
Aster scaber,Meuschenia scaber,host,548163,true,true
Atelerix albiventris,Atelerix albiventris,host,9368,false,false
Ateles belzebuth,Ateles belzebuth,host,9507,false,false
Ateles fusciceps,Ateles fusciceps,host,9508,false,false
Ateles geoffroyi,Ateles geoffroyi,host,9509,false,false
Ateles hybridus,Ateles hybridus,host,129801,false,false
Ateles paniscus,Ateles paniscus,host,9510,false,false
Athene noctua,Athene noctua,host,126797,false,false
Atheris squamigera,Atheris squamigera,host,110225,false,false
Atherurus africanus,Atherurus africanus,host,192881,false,false
Atilax paludinosus,Atilax paludinosus,host,210642,false,false
Auliscomys micropus,Auliscomys micropus,host,89122,false,false
Axis axis,Axis axis,host,30531,false,false
Axis porcinus,Axis porcinus,host,57737,false,false
Aythya affinis,Aythya affinis,host,189533,false,false
Aythya americana,Aythya americana,host,30385,false,false
Aythya baeri,Aythya ferina,host,219593,true,true
Aythya collaris,Aythya collaris,host,189535,false,false
Aythya ferina,Aythya ferina,host,219593,false,false
Aythya fuligula,Aythya fuligula,host,219594,false,false
Aythya marila,Aythya marila,host,189534,false,false
Aythya nyroca,Aythya nyroca,host,197939,false,false
Aythya valisineria,Aythya valisineria,host,110915,false,false
Babyrousa babyrussa,Babyrousa babyrussa,host,41806,false,false
Baeolophus bicolor,Baeolophus bicolor,host,88114,false,false
Baeolophus inornatus,Baeolophus inornatus,host,142467,false,false
Baiomys musculus,Baiomys musculus,host,213557,false,false
Baiomys taylori,Baiomys taylori,host,56219,false,false
Balaena mysticetus,Balaena mysticetus,host,27602,false,false
Balaenoptera acutorostrata,Balaenoptera acutorostrata,host,9767,false,false
Balaenoptera borealis,Balaenoptera borealis,host,9768,false,false
Balaenoptera physalus,Balaenoptera physalus,host,9770,false,false
Balearica pavonina,Balearica pavonina,host,30414,false,false
Balearica regulorum,Balearica regulorum,host,925459,false,false
Balionycteris maculata,Balionycteris maculata,host,77229,false,false
Bandicota bengalensis,Bandicota bengalensis,host,69079,false,false
Bandicota indica,Bandicota indica,host,456472,false,false
Bandicota savilei,Bandicota savilei,host,456473,false,false
Barbastella barbastellus,Barbastella barbastellus,host,59449,false,false
Barnardius zonarius,Barnardius zonarius,host,309859,false,false
Basileuterus culicivorus,Basileuterus culicivorus,host,85526,false,false
Bassaricyon gabbii,Bassaricyon gabbii,host,48422,false,false
Bassariscus astutus,Bassariscus astutus,host,55047,false,false
Beatragus hunteri,Beatragus hunteri,host,59527,false,false
Berylmys bowersi,Berylmys bowersi,host,83759,false,false
Bettongia gaimardi,Bettongia gaimardi,host,223568,false,false
Bettongia penicillata,Bettongia penicillata,host,69259,false,false
Bibimys chacoensis,Bibimys chacoensis,host,241101,false,false
Bidens pilosa,Bryaninops ridens,host,595628,true,true
Bison bison,Bison bison,host,9901,false,false
Bison bonasus,Bison bonasus,host,9902,false,false
Bitis atropos,Bitis atropos,host,110196,false,false
Bitis gabonica,Bitis gabonica,host,8694,false,false
Bitis nasicornis,Bitis nasicornis,host,8695,false,false
Blanus cinereus,Blanus cinereus,host,227091,false,false
Blarina brevicauda,Blarina brevicauda,host,9387,false,false
Blarina carolinensis,Blarina carolinensis,host,183658,false,false
Blarina hylophaga,Blarina hylophaga,host,183659,false,false
Blastocerus dichotomus,Blastocerus dichotomus,host,248133,false,false
Boa imperator,Boa imperator,host,401042,false,false
Bolborhynchus lineola,Bolborhynchus lineola,host,211877,false,false
Bolomys lasiurus,Bolomys lasiurus,host,30635,false,false
Bombycilla cedrorum,Bombycilla cedrorum,host,161648,false,false
Bonasa umbellus,Bonasa umbellus,host,9000,false,false
Bos frontalis,Bos frontalis,host,30520,false,false
Bos gaurus,Bos gaurus,host,9904,false,false
Bos grunniens,Bos grunniens,host,30521,false,false
Bos indicus,Bos indicus,host,9915,false,false
Bos javanicus,Bos javanicus,host,9906,false,false
Bos mutus,Bos mutus,host,72004,false,false
Bos primigenius,Bos primigenius,host,9909,false,false
Bos taurus,Bos taurus,host,9913,false,false
Bos taurus indicus,Bos indicus,host,9915,false,true
Bos taurus primigenius,Bos primigenius,host,9909,true,true
Boselaphus tragocamelus,Boselaphus tragocamelus,host,9917,false,false
Botaurus stellaris,Botaurus stellaris,host,188376,false,false
Brachypodium distachyon,Brachypodius atriceps,host,182895,true,true
Brachypodium retusum,Brachypodius,host,1766907,true,true
Brachyteles arachnoides,Brachyteles arachnoides,host,30594,false,false
Bradypus tridactylus,Bradypus tridactylus,host,9354,false,false
Bradypus variegatus,Bradypus variegatus,host,9355,false,false
Branta bernicla,Branta bernicla,host,184712,false,false
Branta canadensis,Branta canadensis,host,8853,false,false
Branta hutchinsii,Branta hutchinsii,host,371860,false,false
Branta leucopsis,Branta leucopsis,host,184711,false,false
Branta ruficollis,Branta ruficollis,host,184715,false,false
Branta sandvicensis,Branta sandvicensis,host,56282,false,false
Broadleysaurus major,Broadleysaurus major,host,174280,false,false
Brotogeris tirica,Brotogeris tirica,host,671078,false,false
Bubalus bubalis,Bubalus bubalis,host,89462,false,false
Bubalus carabanensis,Bubalus carabanensis,host,346063,false,false
Bubo bubo,Bubo bubo,host,30461,false,false
Bubo scandiacus,Bubo scandiacus,host,371907,false,false
Bubo sumatranus,Bubo sumatranus,host,748877,false,false
Bubo virginianus,Bubo virginianus,host,56268,false,false
Bubulcus ibis,Bubulcus ibis,host,110668,false,false
Bucephala albeola,Bucephala albeola,host,279934,false,false
Bucephala clangula,Bucephala clangula,host,107022,false,false
Budorcas taxicolor,Budorcas taxicolor,host,37181,false,false
Bufo bufo,Bufo bufo,host,8384,false,false
Bufo gargarizans,Bufo gargarizans,host,30331,false,false
Bufo spinosus,Bufo spinosus,host,655841,false,false
Burhinus grallarius,Burhinus grallarius,host,585466,false,false
Burhinus oedicnemus,Burhinus oedicnemus,host,85105,false,false
Butastur indicus,Butastur indicus,host,335207,false,false
Buteo brachyurus,Buteo brachyurus,host,223853,false,false
Buteo buteo,Buteo buteo,host,30397,false,false
Buteo jamaicensis,Buteo jamaicensis,host,56263,false,false
Buteo japonicus,Buteo japonicus,host,224669,false,false
Buteo lagopus,Buteo lagopus,host,115229,false,false
Buteo lineatus,Buteo lineatus,host,223475,false,false
Buteo regalis,Buteo regalis,host,223441,false,false
Buteo rufinus,Buteo rufinus,host,115134,false,false
Buteo rufofuscus,Buteo rufofuscus,host,223437,false,false
Buteo swainsoni,Buteo swainsoni,host,156757,false,false
Buteogallus meridionalis,Buteogallus meridionalis,host,223496,false,false
Butorides striata,Butorides striata,host,433628,false,false
Butorides virescens,Butorides virescens,host,110671,false,false
Cabassous centralis,Cabassous centralis,host,1756215,false,false
Cacajao calvus,Cacajao calvus,host,30596,false,false
Cacajao melanocephalus,Cacajao melanocephalus,host,70825,false,false
Cacajao rubicundus,Cacajao rubicundus,host,70927,false,false
Cacatua alba,Cacatua alba,host,141836,false,false
Cacatua ducorpsii,Cacatua ducorpsii,host,141834,false,false
Cacatua galerita,Cacatua galerita,host,141274,false,false
Cacatua goffiniana,Cacatua goffiniana,host,12983,false,false
Cacatua haematuropygia,Cacatua haematuropygia,host,141837,false,false
Cacatua leadbeateri,Cacatua leadbeateri,host,471713,false,false
Cacatua moluccensis,Cacatua moluccensis,host,136504,false,false
Cacatua ophthalmica,Cacatua ophthalmica,host,141835,false,false
Cacatua pastinator,Cacatua pastinator,host,986097,false,false
Cacatua sanguinea,Cacatua sanguinea,host,274074,false,false
Cacatua sulphurea,Cacatua sulphurea,host,141271,false,false
Cacatua tenuirostris,Cacatua tenuirostris,host,1344800,false,false
Cairina moschata,Cairina moschata,host,8855,false,false
Calandrella cinerea,Calandrella cinerea,host,1364912,false,false
Calendula arvensis,Calandrella athensis,host,1351701,true,true
Calendula officinalis,Scincus scincus,host,155317,true,true
Calidris acuminata,Calidris acuminata,host,192723,false,false
Calidris alba,Calidris alba,host,279936,false,false
Calidris alpina,Calidris alpina,host,8919,false,false
Calidris canutus,Calidris canutus,host,227173,false,false
Calidris ferruginea,Calidris ferruginea,host,217133,false,false
Calidris fuscicollis,Calidris fuscicollis,host,279940,false,false
Calidris mauri,Calidris mauri,host,279941,false,false
Calidris minuta,Calidris minuta,host,670340,false,false
Calidris minutilla,Calidris minutilla,host,279935,false,false
Calidris ptilocnemis,Calidris ptilocnemis,host,217132,false,false
Calidris pusilla,Calidris pusilla,host,279961,false,false
Calidris ruficollis,Calidris ruficollis,host,272047,false,false
Callicebus personatus,Callicebus personatus,host,70814,false,false
Callimico goeldii,Callimico goeldii,host,9495,false,false
Calliope calliope,Calliope calliope,host,229100,false,false
Callithrix geoffroyi,Callithrix geoffroyi,host,52231,false,false
Callithrix jacchus,Callithrix jacchus,host,9483,false,false
Callithrix penicillata,Callithrix penicillata,host,57378,false,false
Callithrix pygmaea,Callithrix pygmaea,host,9493,false,false
Callocephalon fimbriatum,Callocephalon fimbriatum,host,986101,false,false
Callonetta leucophrys,Callonetta leucophrys,host,75871,false,false
Callorhinus ursinus,Callorhinus ursinus,host,34884,false,false
Callosciurus erythraeus,Callosciurus erythraeus,host,64677,false,false
Callosciurus finlaysonii,Callosciurus finlaysonii,host,127500,false,false
Callosciurus prevostii,Callosciurus prevostii,host,64676,false,false
Callospermophilus lateralis,Callospermophilus lateralis,host,76772,false,false
Calomys callidus,Calomys callidus,host,414451,false,false
Calomys callosus,Calomys callosus,host,56210,false,false
Calomys fecundus,Calomys fecundus,host,160455,false,false
Calomys laucha,Calomys laucha,host,56211,false,false
Calomys musculinus,Calomys musculinus,host,56212,false,false
Calomys tener,Calomys tener,host,162310,false,false
Calotriton asper,Calotriton asper,host,30374,false,false
Caluromys derbianus,Caluromys derbianus,host,992409,false,false
Caluromys philander,Caluromys philander,host,70610,false,false
Calypte anna,Calypte anna,host,9244,false,false
Calypte costae,Calypte costae,host,371909,false,false
Calyptorhynchus banksii,Calyptorhynchus banksii,host,35551,false,false
Calyptorhynchus lathami,Calyptorhynchus lathami,host,986098,false,false
Camarhynchus pallidus,Camarhynchus pallidus,host,48878,false,false
Camellia japonica,Lethenteron camtschaticum,host,980415,true,true
Camellia oleifera,Sewellia albisuera,host,643346,true,true
Camellia sinensis,Cardellina canadensis,host,182910,true,true
Camelus bactrianus,Camelus bactrianus,host,9837,false,false
Camelus dromedarius,Camelus dromedarius,host,9838,false,false
Campylorhamphus pucherani,Campylorhamphus pucherani,host,761979,false,false
Canis adustus,Canis adustus,host,68723,false,false
Canis aureus,Canis aureus,host,68724,false,false
Canis latrans,Canis latrans,host,9614,false,false
Canis lupus,Canis lupus,host,9612,false,false
Canis lupus familiaris,Canis lupus familiaris,host,9615,false,false
Canis mesomelas,Canis mesomelas,host,68725,false,false
Canis simensis,Canis simensis,host,32534,false,false
Capparis spinosa,Salpornis spilonota,host,552928,true,true
Capra aegagrus,Capra aegagrus,host,9923,false,false
Capra caucasica,Capra caucasica,host,72540,false,false
Capra hircus,Capra hircus,host,9925,false,false
Capra ibex,Capra ibex,host,72542,false,false
Capra nubiana,Capra nubiana,host,72543,false,false
Capra pyrenaica,Capra pyrenaica,host,80419,false,false
Capra sibirica,Capra sibirica,host,72544,false,false
Capreolus capreolus,Capreolus capreolus,host,9858,false,false
Capricornis crispus,Capricornis crispus,host,9966,false,false
Capricornis sumatraensis,Capricornis sumatraensis,host,34865,false,false
Caprimulgus europaeus,Caprimulgus europaeus,host,111811,false,false
Caracal caracal,Caracal caracal,host,61394,false,false
Caracara plancus,Caracara plancus,host,8951,false,false
Cardinalis cardinalis,Cardinalis cardinalis,host,98964,false,false
Cardioderma cor,Cardioderma cor,host,270764,false,false
Carduelis carduelis,Carduelis carduelis,host,37600,false,false
Caretta caretta,Caretta caretta,host,8467,false,false
Avian leukosis virus,Avian leukosis virus,virus,11864,false,false
Gallid alphaherpesvirus 2,Gallid alphaherpesvirus 2,virus,10390,false,false
Picornavirales sp.,Picornavirales sp.,virus,1955153,false,false
Picornaviridae sp.,Picornaviridae sp.,virus,1530251,false,false
Riboviria sp.,Riboviria sp.,virus,2585031,false,false
Totiviridae sp.,Totiviridae sp.,virus,1955172,false,false
Dependoparvovirus sp.,Dependoparvovirus sp.,virus,2052559,false,false
Tick-borne encephalitis virus,Tick-borne encephalitis virus,virus,11084,false,false
Weivirus-like virus sp.,Weivirus-like virus sp.,virus,2715103,false,false
Andes orthohantavirus,Andes orthohantavirus,virus,1980456,false,false
Parvoviridae sp.,Parvoviridae sp.,virus,1940570,false,false
Death adder adenovirus,Death adder adenovirus,virus,1104499,false,false
Passerine adenovirus 1,Passerine adenovirus 1,virus,2779174,false,false
Columbid alphaherpesvirus 1,Columbid alphaherpesvirus 1,virus,93386,false,false
Influenza A virus,Influenza A virus,virus,11320,false,false
West Nile virus,West Nile virus,virus,11082,false,false
Beak and feather disease virus,Beak and feather disease virus,virus,77856,false,false
Avipoxvirus isolate Hungary,Avipoxvirus isolate Hungary,virus,1294100,false,false
Avian orthoavulavirus 1,Avian orthoavulavirus 1,virus,2560319,false,false
Chicken astrovirus,Chicken astrovirus,virus,336959,false,false
Acerodon celebensis polyomavirus 1,Acerodon celebensis polyomavirus 1,virus,1891717,false,false
Acerodon celebensis polyomavirus 2,Acerodon celebensis polyomavirus 2,virus,1891757,false,false
Mamastrovirus sp.,Mamastrovirus sp.,virus,1912147,false,false
Megabat gammaherpesvirus,Megabat gammaherpesvirus,virus,1986399,false,false
Paramyxovirus IFBPV32/2012,Paramyxovirus IFBPV32/2012,virus,1170370,false,false
Paramyxovirus PREDICT_PMV-93,Paramyxovirus PREDICT_PMV-93,virus,2711112,false,false
Paramyxovirus PREDICT_PMV-95,Paramyxovirus PREDICT_PMV-95,virus,2711114,false,false
