Pathogen
diclidophora denticulata
diclidophora luscae
vibrio azureus
bunodera mediovitellata
diplostomum paracaudum
diplostomum spathaceum
frog virus 3
glugea anomala
gyrodactylus alexanderi
gyrodactylus arcuatus
gyrodactylus branchicus
gyrodactylus gasterostei
gyrodactylus rarus
ichthyobodo necator
phyllodistomum folium
proteocephalus filicollis
schistocephalus solidus
spironucleus salmonis
gyrodactylus pungitii
newcastle disease virus
bacillus tequilensis
nomimoscolex chubbi
escherichia coli
cystoopsis atractostei
macroderoides spiniferus
macroderoides texanus
paramacroderoides kinsellai
macroderoides typicus
macroderoides trilobatus
pseudoterranova decipiens
spraguea lophii
prosorhynchoides gracilescens
stephanostomum cestillium
crusziella formosa
paucivitellosus fragilis
bacillus xiamenensis
degeneria halosauri
gaevskajatrema halosauropsi
bathycestus brayi
merlucciotrema praeclarum
anonchocephalus chilensis
steringophorus haedrichi
steringophorus margolisi
lecithophyllum botryophorum
proteocephalus tetrastomus
raphidascaris gigi
gyrodactylus osmeri
glugea hertwigi
glugea plecoglossi
hirame novirhabdovirus
metagonimus yokogawai
proteocephalus plecoglossi
pseudomonas plecoglossicida
vibrio ordalii
steringophorus blackeri
salmonella enterica subsp. arizonae
schizocoerus liguloideus
malayanodiscoides indicus
phthinomita poulini
bivesicula unexpecta
lepotrema clavatum
pseudodactylogyrus haze
benedenia anticavaginata
prototransversotrema steeri
transversotrema licinum
lamellodiscus donatellae
epulopiscium fishelsoni
haplobothrium globuliforme
proteocephalus ambloplitis
proteocephalus perplexus
neorickettsia sennetsu
trianchoratus gussevi
fellodistomum agnotum
fellodistomum fellis
lepidophyllum steenstrupi
peracreadium idoneum
pleistophora ehrenbaumi
proenenterum ericotylum
proenenterum isocotylum
microbacterium oxydans
psychrobacter arcticus
homalometron armatum
pseudodactylogyroides apogonis
pleorchis uku
pseudonitzschia uku
retrovarium sablae
crassicutis archosargi
proctoeces maculatus
benedenia sciaenae
microcotyle arripis
kahawaia truttae
opechona kahawai
piscirickettsia salmonis
poecilancistrium caryophyllum
intusatrium robustum
lecithochirium caesionis
prosogonotrema bilabiatum
transversotrema haasi
zoogonoides viviparus
dasyrhynchus giganteus
neomicrocotyle pacifica
dasyrhynchus variouncinatus
parotobothrium balli
amphicotyle heteropleura
echinophallus wageneri
symmetrovesicula gracilis
euryhaliotrematoides grandis
haliotrema aurigae
aliatrema cribbi
euryhaliotrematoides berenguelae
neohypocreadium dorsoporum
cardicola chaetodontis
euryhaliotrematoides triangulovagina
haliotrema angelopterum
euryhaliotrematoides pirulum
symmetrovesicula chaetodontis
euryhaliotrematoides annulocirrus
euryhaliotrematoides aspistis
philometra fujimotoi
sundanonchus micropeltis
clinostomum giganticum
rhizomucor pusillus
exiguobacterium indicum
mycobacterium mucogenicum
cryptosporidium parvum
encotyllabe chironemi
benedenia sekii
clinostomum piscidium
dollfustrema vaneyi
dinurus longisinus
pantoea agglomerans
tentacularia coryphaenae
mitotrema anthostomatum
pearsonellum pygmaeus
loma embiotocia
salmonella enterica
cainocreadium labracis
pachycreadium carnosum
aephnidiogenes major
chelediadema marjoriae
gigantolina magna
retrovarium mariae
holorchis castex
diplectanum aequans
striped jack nervous necrosis virus
tenacibaculum dicentrarchi
tenacibaculum soleae
vibrio alginolyticus
macvicaria crassigula
monorchis parvus
polylabris heterodus
peracreadium characis
diphtherostomum brusinae
lamellodiscus elegans
zoogonus rubellus
pseudopycnadena fishtali
echeneidocoelium indicum
prodistomum priedei
enterococcus casseliflavus
kluyvera cryocrescens
providencia alcalifaciens
allobenedenia epinepheli
haliotrema cromileptis
philometra lateolabracis
cainocreadium epinepheli
lepidapedoides angustus
prosorhynchus longisaccatus
prosorhynchus maternus
bivesicula claviformis
enterobacter cloacae
bacillus flexus
bacillus licheniformis
serratia proteamaculans
vibrio mimicus
kabatana newberryi
floriceps minacanthus
mycobacterium chesapeaki
mycobacterium pseudoshottsii
mycobacterium shottsii
haliotrema scyphovagina
mixonybelinia lepturi
nybelinia africana
homalometron elongatum
vesicular exanthema of swine virus
amurotaenia decidua
gnathostoma lamothei
proteocephalus chamelensis
gyrodactylus flavescensis
bunodera luciopercae
dactylogyrus amphibothrium
dactylogyrus hemiamphibothrium
diphyllobothrium latum
gyrodactylus cernuae
gyrodactylus longiradix
ichthyocotylurus platycephalus
ichthyocotylurus variegatus
loma acerinae
ovipleistophora mirandellae
encotyllabe caballeroi
nippotaenia chaenogobii
cichlidogyrus falcifer
cichlidogyrus longicirrus
cichlidogyrus tilapiae
onchobdella aframae
onchobdella bopeleti
callohelmis pichelinae
euryhaliotrematoides microphallus
podocotyloides stenometra
nybelinia indica
capsala laevis
capsala pricei
capsaloides magnaspinosus
gyrodactylus ostendicus
achromobacter xylosoxidans
bacillus pumilus
pseudomonas stutzeri
dactylogyrus inversus
dactylogyrus kikuchii
pseudoalteromonas maricaloris
hemiperina manteri
diplomonorchis leiostomi
floriceps saccatus
gyrodactylus nudifronsi
urocleidus similis
crepidostomum cornutum
crepidostomum cooperi
spinitectus carolini
macvicaria mormyri
pagellicotyle mormyri
siphoderina subuterus
retrovarium manteri
siphoderina hirastricta
siphoderina poulini
microcotyloides incisa
cardicola milleri
caulanus thomasi
latuterus maldivensis
latuterus tkachi
retrovarium brooksi
benedenia lutjani
benedenia rohdei
