VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
2710969,adenovirus predict_adv-35,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710970,adenovirus predict_adv-36,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710971,adenovirus predict_adv-37,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710972,adenovirus predict_adv-38,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710973,adenovirus predict_adv-39,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710974,adenovirus predict_adv-40,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710975,adenovirus predict_adv-41,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710976,adenovirus predict_adv-42,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710977,adenovirus predict_adv-43,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710978,adenovirus predict_adv-44,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710979,adenovirus predict_adv-45,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710980,adenovirus predict_adv-46,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710981,adenovirus predict_adv-47,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710982,adenovirus predict_adv-48,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710983,adenovirus predict_adv-49,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710984,adenovirus predict_adv-50,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710985,adenovirus predict_adv-51,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710986,adenovirus predict_adv-52,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710987,adenovirus predict_adv-53,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710988,adenovirus predict_adv-54,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2558897,adenovirus predict_adv-55,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710989,adenovirus predict_adv-56,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710990,adenovirus predict_adv-57,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710991,adenovirus predict_adv-58,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710992,adenovirus predict_adv-59,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710993,adenovirus predict_adv-60,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710994,adenovirus predict_adv-61,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710995,adenovirus predict_adv-62,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710996,adenovirus predict_adv-63,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710997,adenovirus predict_adv-64,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710998,adenovirus predict_adv-65,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2558898,adenovirus predict_adv-66,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2558899,adenovirus predict_adv-67,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2710999,adenovirus predict_adv-68,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
1717143,adenovirus predict_adv-69,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2558900,adenovirus predict_adv-70,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711000,adenovirus predict_adv-71,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711001,adenovirus predict_adv-73,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711002,adenovirus predict_adv-74,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
2711003,adenovirus predict_adv-75,,adenoviridae,rowavirales,tectiliviricetes,TRUE,FALSE
