Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Rank of Last Change,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
1,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901396
2,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901397
3,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batrachovirus,,Ranid herpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201905570
4,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Anguillid herpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901399
5,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901400
6,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901401
7,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyprinivirus,,Cyprinid herpesvirus 3,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901402
8,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Acipenserid herpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901404
9,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901405
10,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictalurivirus,,Ictalurid herpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901406
11,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901408
12,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901409
13,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmonivirus,,Salmonid herpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901410
14,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Gallid alphaherpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901414
15,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Iltovirus,,Psittacid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901415
16,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Anatid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901417
17,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Columbid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901418
18,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 2,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901419
19,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Gallid alphaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901420
20,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Meleagrid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901421
21,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Mardivirus,,Spheniscid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906397
22,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Scutavirus,,Chelonid alphaherpesvirus 5,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901423
23,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Scutavirus,,Testudinid alphaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906398
24,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Ateline alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901425
25,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Bovine alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901426
26,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Cercopithecine alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901427
27,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Human alphaherpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901428
28,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Human alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901429
29,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Leporid alphaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901430
30,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macacine alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901431
31,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macropodid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901432
32,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Macropodid alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901433
33,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Panine alphaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901434
34,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Papiine alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901435
35,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Pteropodid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906395
36,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Simplexvirus,,Saimiriine alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901436
37,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bovine alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901440
38,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bovine alphaherpesvirus 5,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901441
39,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Bubaline alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901442
40,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Canid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901443
41,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Caprine alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901444
42,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cercopithecine alphaherpesvirus 9,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901445
43,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cervid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901446
44,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Cervid alphaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901447
45,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901448
46,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901449
47,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901450
48,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 8,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901451
49,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Equid alphaherpesvirus 9,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901452
50,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Felid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901453
51,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Human alphaherpesvirus 3,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901454
52,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Monodontid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906396
53,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Phocid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901455
54,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,Varicellovirus,,Suid alphaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901456
55,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Alphaherpesvirinae,,,Chelonid alphaherpesvirus 6,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901438
56,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Aotine betaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901459
57,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cebine betaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901460
58,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cercopithecine betaherpesvirus 5,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901461
59,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Human betaherpesvirus 5,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901462
60,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Macacine betaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901463
61,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Macacine betaherpesvirus 8,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906399
62,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Mandrilline betaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906400
63,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Panine betaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901464
64,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Papiine betaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901465
65,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Papiine betaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906401
66,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,,Saimiriine betaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901466
67,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901468
68,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901469
69,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Muromegalovirus,,Murid betaherpesvirus 8,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901470
70,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901472
71,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906404
72,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Proboscivirus,,Elephantid betaherpesvirus 5,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906405
73,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Human betaherpesvirus 7,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901474
74,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Human betaherpesvirus 6A,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901475
75,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Human betaherpesvirus 6B,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901476
76,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Macacine betaherpesvirus 9,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906402
77,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Murid betaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906403
78,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,Roseolovirus,,Suid betaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901479
79,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,,,Caviid betaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901478
80,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Betaherpesvirinae,,,Tupaiid betaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901480
81,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Callitrichine gammaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901483
82,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Cercopithecine gammaherpesvirus 14,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901484
83,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Gorilline gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901485
84,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Human gammaherpesvirus 4,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901486
85,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Macacine gammaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901487
86,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Macacine gammaherpesvirus 10,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906406
87,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Panine gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901488
88,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Papiine gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901489
89,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,,Pongine gammaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901490
90,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Alcelaphine gammaherpesvirus 1,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901492
91,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Alcelaphine gammaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901493
92,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Bovine gammaherpesvirus 6,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901494
93,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Caprine gammaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901495
94,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Hippotragine gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901496
95,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Ovine gammaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901497
96,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Suid gammaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901498
97,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Suid gammaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901499
98,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Macavirus,,Suid gammaherpesvirus 5,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901500
99,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Equid gammaherpesvirus 2,1,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901502
100,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Equid gammaherpesvirus 5,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901503
101,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Felid gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906410
102,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Mustelid gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901504
103,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Phocid gammaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906411
104,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Percavirus,,Vespertilionid gammaherpesvirus 1,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201906412
105,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,,Ateline gammaherpesvirus 2,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901506
106,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,,Ateline gammaherpesvirus 3,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901507
107,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,,Bovine gammaherpesvirus 4,0,dsDNA,class,"Moved,",35,2019.004G.zip,ICTVonline=201901508
