Host_Intermediate,Host,taxid,HostFamily,HostOrder,HostClass
Barbatula barbatula,Barbatula barbatula,135647,Nemacheilidae,Cypriniformes,Actinopteri
Chondrostoma nasus,Chondrostoma nasus,52619,Leuciscidae,Cypriniformes,Actinopteri
Chondrostoma polylepis,Pseudochondrostoma polylepis,52620,Leuciscidae,Cypriniformes,Actinopteri
Culter alburnus,Culter alburnus,194366,Xenocyprididae,Cypriniformes,Actinopteri
Cyprinus carpio,Cyprinus carpio,7962,Cyprinidae,Cypriniformes,Actinopteri
Danio rerio,Danio rerio,7955,Danionidae,Cypriniformes,Actinopteri
Labeo rohita,Labeo rohita,84645,Cyprinidae,Cypriniformes,Actinopteri
Labeobarbus nedgia,Labeobarbus nedgia,676256,Cyprinidae,Cypriniformes,Actinopteri
Lefua echigonia,Lefua echigonia,149982,Nemacheilidae,Cypriniformes,Actinopteri
Opsariichthys bidens,Opsariichthys bidens,141458,Xenocyprididae,Cypriniformes,Actinopteri
Pseudophoxinus callensis,Tropidophoxinellus callensis,1483150,Leuciscidae,Cypriniformes,Actinopteri
Puntius conchonius,Pethia conchonius,27708,Cyprinidae,Cypriniformes,Actinopteri
Puntius sophore,Puntius sophore,205134,Cyprinidae,Cypriniformes,Actinopteri
Schizothorax pseudoaksaiensis,Schizothorax pseudoaksaiensis,137067,Cyprinidae,Cypriniformes,Actinopteri
Squalidus argentatus,Squalidus argentatus,328520,Gobionidae,Cypriniformes,Actinopteri
Squalius cephalus,Squalius cephalus,8284,Leuciscidae,Cypriniformes,Actinopteri
Xiphophorus hellerii,Xiphophorus hellerii,8084,Poeciliidae,Cyprinodontiformes,Actinopteri
Xiphophorus maculatus,Xiphophorus maculatus,8083,Poeciliidae,Cyprinodontiformes,Actinopteri
Coelorinchus anatirostris,Coelorinchus anatirostris,390686,Macrouridae,Gadiformes,Actinopteri
Coelorinchus formosanus,Coelorinchus formosanus,390687,Macrouridae,Gadiformes,Actinopteri
Coelorinchus hubbsi,Coelorinchus hubbsi,390688,Macrouridae,Gadiformes,Actinopteri
Coelorinchus japonicus,Coelorinchus japonicus,390689,Macrouridae,Gadiformes,Actinopteri
Coelorinchus kamoharai,Coelorinchus kamoharai,390690,Macrouridae,Gadiformes,Actinopteri
Coelorinchus kishinouyei,Coelorinchus kishinouyei,143328,Macrouridae,Gadiformes,Actinopteri
Coelorinchus multispinulosus,Coelorinchus multispinulosus,390691,Macrouridae,Gadiformes,Actinopteri
Eleotris picta,Eleotris picta,308077,Eleotridae,Gobiiformes,Actinopteri
Chlorurus microrhinos,Chlorurus microrhinos,544414,Labridae,Labriformes,Actinopteri
Chlorurus sordidus,Chlorurus sordidus,126671,Labridae,Labriformes,Actinopteri
Choerodon venustus,Choerodon venustus,443689,Labridae,Labriformes,Actinopteri
Labrus merula,Labrus merula,202587,Labridae,Labriformes,Actinopteri
Liza affinis,Planiliza affinis,479651,Mugilidae,Mugiliformes,Actinopteri
Liza aurata,Chelon auratus,48191,Mugilidae,Mugiliformes,Actinopteri
Liza ramado,Chelon ramada,30804,Mugilidae,Mugiliformes,Actinopteri
Liza saliens,Chelon saliens,48192,Mugilidae,Mugiliformes,Actinopteri
Mugil cephalus,Mugil cephalus,48193,Mugilidae,Mugiliformes,Actinopteri
Mugil gyrans,Mugil gyrans,482914,Mugilidae,Mugiliformes,Actinopteri
Mugil liza,Mugil liza,426484,Mugilidae,Mugiliformes,Actinopteri
Myctophum punctatum,Myctophum punctatum,114866,Myctophidae,Myctophiformes,Actinopteri
Etheostoma nigrum,Etheostoma nigrum,54337,Percidae,Perciformes,Actinopteri
Lycodes eudipleurostictus,Lycodes eudipleurostictus,215433,Zoarcidae,Perciformes,Actinopteri
Notothenia coriiceps,Notothenia coriiceps,8208,Nototheniidae,Perciformes,Actinopteri
Platycephalus indicus,Platycephalus indicus,270568,Platycephalidae,Perciformes,Actinopteri
Sebastes alutus,Sebastes alutus,72055,Sebastidae,Perciformes,Actinopteri
Sebastes capensis,Sebastes capensis,72061,Sebastidae,Perciformes,Actinopteri
Sebastes emphaeus,Sebastes emphaeus,72071,Sebastidae,Perciformes,Actinopteri
Sebastes flavidus,Sebastes flavidus,72076,Sebastidae,Perciformes,Actinopteri
Sebastes fuscescens,Sebastes fuscescens,555602,Sebastidae,Perciformes,Actinopteri
Sebastes mentella,Sebastes mentella,394696,Sebastidae,Perciformes,Actinopteri
Sebastes schlegelii,Sebastes schlegelii,214486,Sebastidae,Perciformes,Actinopteri
Serranus hepatus,Serranus hepatus,357812,Serranidae,Perciformes,Actinopteri
Pleuronectes platessa,Pleuronectes platessa,8262,Pleuronectidae,Pleuronectiformes,Actinopteri
Corydoras ehrhardti,Corydoras ehrhardti,245770,Callichthyidae,Siluriformes,Actinopteri
Corydoras paleatus,Corydoras paleatus,245772,Callichthyidae,Siluriformes,Actinopteri
Corydoras sterbai,Corydoras sterbai,570940,Callichthyidae,Siluriformes,Actinopteri
Hemibagrus macropterus,Hemibagrus macropterus,175789,Bagridae,Siluriformes,Actinopteri
Liobagrus marginatoides,Liobagrus marginatoides,262080,Amblycipitidae,Siluriformes,Actinopteri
Mystus gulio,Mystus gulio,568893,Bagridae,Siluriformes,Actinopteri
Mystus singaringan,Mystus singaringan,1001831,Bagridae,Siluriformes,Actinopteri
Mystus vittatus,Mystus vittatus,337539,Bagridae,Siluriformes,Actinopteri
Noturus flavus,Noturus flavus,202874,Ictaluridae,Siluriformes,Actinopteri
Synodontis frontosa,Synodontis frontosus,577549,Mochokidae,Siluriformes,Actinopteri
Synodontis schall,Synodontis schall,566417,Mochokidae,Siluriformes,Actinopteri
Synodontis serrata,Synodontis serratus,577548,Mochokidae,Siluriformes,Actinopteri
Lethrinus atkinsoni,Lethrinus atkinsoni,182648,Lethrinidae,Spariformes,Actinopteri
Lethrinus miniatus,Lethrinus miniatus,132107,Lethrinidae,Spariformes,Actinopteri
Lethrinus nebulosus,Lethrinus nebulosus,182658,Lethrinidae,Spariformes,Actinopteri
Scolopsis monogramma,Scolopsis monogramma,443717,Nemipteridae,Spariformes,Actinopteri
Sparus aurata,Sparus aurata,8175,Sparidae,Spariformes,Actinopteri
Takifugu niphobles,Takifugu alboplumbeus,433688,Tetraodontidae,Tetraodontiformes,Actinopteri
Takifugu oblongus,Takifugu oblongus,204816,Tetraodontidae,Tetraodontiformes,Actinopteri
Takifugu rubripes,Takifugu rubripes,31033,Tetraodontidae,Tetraodontiformes,Actinopteri
Uranoscopus scaber,Uranoscopus scaber,210005,Uranoscopidae,Uranoscopiformes,Actinopteri
Acipenser brevirostrum,Acipenser brevirostrum,7907,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,7902,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser oxyrinchus,Acipenser oxyrinchus,36177,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser sinensis,Acipenser sinensis,61970,Acipenseridae,Acipenseriformes,Actinopteri
Huso huso,Huso huso,61971,Acipenseridae,Acipenseriformes,Actinopteri
Polyodon spathula,Polyodon spathula,7913,Polyodontidae,Acipenseriformes,Actinopteri
Channa argus,Channa argus,215402,Channidae,Anabantiformes,Actinopteri
Channa lucius,Channa lucius,64146,Channidae,Anabantiformes,Actinopteri
Channa maculata,Channa maculata,188791,Channidae,Anabantiformes,Actinopteri
Channa striata,Channa striata,64152,Channidae,Anabantiformes,Actinopteri
Macropodus opercularis,Macropodus opercularis,158451,Osphronemidae,Anabantiformes,Actinopteri
Anguilla anguilla,Anguilla anguilla,7936,Anguillidae,Anguilliformes,Actinopteri
Anguilla australis,Anguilla australis,7940,Anguillidae,Anguilliformes,Actinopteri
Anguilla japonica,Anguilla japonica,7937,Anguillidae,Anguilliformes,Actinopteri
Anguilla marmorata,Anguilla marmorata,7939,Anguillidae,Anguilliformes,Actinopteri
Anguilla mossambica,Anguilla mossambica,48164,Anguillidae,Anguilliformes,Actinopteri
Anguilla reinhardtii,Anguilla reinhardtii,48165,Anguillidae,Anguilliformes,Actinopteri
Anguilla rostrata,Anguilla rostrata,7938,Anguillidae,Anguilliformes,Actinopteri
Conger conger,Conger conger,82655,Congridae,Anguilliformes,Actinopteri
Conger myriaster,Conger myriaster,7943,Congridae,Anguilliformes,Actinopteri
Gymnothorax funebris,Gymnothorax funebris,1182252,Muraenidae,Anguilliformes,Actinopteri
Gymnothorax moringa,Gymnothorax moringa,182438,Muraenidae,Anguilliformes,Actinopteri
Muraenesox cinereus,Muraenesox cinereus,7946,Muraenesocidae,Anguilliformes,Actinopteri
Rhinomuraena quaesita,Rhinomuraena quaesita,391222,Muraenidae,Anguilliformes,Actinopteri
Synaphobranchus kaupii,Synaphobranchus kaupii,118154,Synaphobranchidae,Anguilliformes,Actinopteri
Menidia menidia,Menidia menidia,238744,Atherinopsidae,Atheriniformes,Actinopteri
Bathypterois dubius,Bathypterois dubius,206092,Ipnopidae,Aulopiformes,Actinopteri
Chlorophthalmus acutifrons,Chlorophthalmus acutifrons,390685,Chlorophthalmidae,Aulopiformes,Actinopteri
Chlorophthalmus albatrossis,Chlorophthalmus albatrossis,197544,Chlorophthalmidae,Aulopiformes,Actinopteri
Chlorophthalmus nigromarginatus,Chlorophthalmus nigromarginatus,197546,Chlorophthalmidae,Aulopiformes,Actinopteri
Harpadon nehereus,Harpadon nehereus,435155,Synodontidae,Aulopiformes,Actinopteri
Saurida elongata,Saurida elongata,197541,Synodontidae,Aulopiformes,Actinopteri
Synodus foetens,Synodus foetens,399151,Synodontidae,Aulopiformes,Actinopteri
Synodus variegatus,Synodus variegatus,261076,Synodontidae,Aulopiformes,Actinopteri
Belone belone,Belone belone,129037,Belonidae,Beloniformes,Actinopteri
Cheilopogon pinnatibarbatus,Cheilopogon pinnatibarbatus,307590,Exocoetidae,Beloniformes,Actinopteri
Cololabis saira,Cololabis saira,129043,Belonidae,Beloniformes,Actinopteri
Monocirrhus polyacanthus,Monocirrhus polyacanthus,302772,Polycentridae,NA,Actinopteri
Potamorrhaphis guianensis,Potamorrhaphis guianensis,105857,Belonidae,Beloniformes,Actinopteri
Strongylura leiura,Strongylura leiura,129067,Belonidae,Beloniformes,Actinopteri
Tylosurus crocodilus,Tylosurus crocodilus,129077,Belonidae,Beloniformes,Actinopteri
Anoplogaster cornuta,Anoplogaster cornuta,88656,Anoplogasteridae,Trachichthyiformes,Actinopteri
Aulotrachichthys prosthemius,Aulotrachichthys prosthemius,390684,Trachichthyidae,Trachichthyiformes,Actinopteri
Beryx splendens,Beryx splendens,88663,Berycidae,Beryciformes,Actinopteri
Cleidopus gloriamaris,Cleidopus gloriamaris,88675,Monocentridae,Trachichthyiformes,Actinopteri
Monocentris japonicus,Monocentris japonicus,181435,Monocentridae,Trachichthyiformes,Actinopteri
Sargocentron punctatissimum,Sargocentron punctatissimum,47711,Holocentridae,Holocentriformes,Actinopteri
Selene vomer,Selene vomer,179370,Carangidae,Carangiformes,Actinopteri
Deveximentum insidiator,Deveximentum insidiator,390672,Leiognathidae,Chaetodontiformes,Actinopteri
Leiognathus brevirostris,Leiognathus brevirostris,435159,Leiognathidae,Chaetodontiformes,Actinopteri
Astyanax aeneus,Astyanax aeneus,178766,Characidae,Characiformes,Actinopteri
Hoplias malabaricus,Hoplias malabaricus,27720,Erythrinidae,Characiformes,Actinopteri
Paracheirodon innesi,Paracheirodon innesi,42492,Characidae,Characiformes,Actinopteri
Piaractus mesopotamicus,Piaractus mesopotamicus,42528,Serrasalmidae,Characiformes,Actinopteri
Psectrogaster amazonica,Psectrogaster amazonica,642558,Curimatidae,Characiformes,Actinopteri
Pygocentrus nattereri,Pygocentrus nattereri,42514,Serrasalmidae,Characiformes,Actinopteri
Salminus maxillosus,Salminus maxillosus,304083,Bryconidae,Characiformes,Actinopteri
Haplochromis elegans,Haplochromis elegans,303557,Cichlidae,Cichliformes,Actinopteri
Oreochromis amphimelas,Oreochromis amphimelas,87884,Cichlidae,Cichliformes,Actinopteri
Oreochromis esculentus,Oreochromis esculentus,40191,Cichlidae,Cichliformes,Actinopteri
Oreochromis variabilis,Oreochromis variabilis,160745,Cichlidae,Cichliformes,Actinopteri
Vieja melanura,Vieja melanura,318738,Cichlidae,Cichliformes,Actinopteri
Alosa pseudoharengus,Alosa pseudoharengus,34774,Clupeidae,Clupeiformes,Actinopteri
Alosa sapidissima,Alosa sapidissima,34773,Clupeidae,Clupeiformes,Actinopteri
Brevoortia tyrannus,Brevoortia tyrannus,224708,Clupeidae,Clupeiformes,Actinopteri
Dorosoma cepedianum,Dorosoma cepedianum,336262,Clupeidae,Clupeiformes,Actinopteri
Engraulis japonicus,Engraulis japonicus,42892,Engraulidae,Clupeiformes,Actinopteri
Engraulis mordax,Engraulis mordax,239368,Engraulidae,Clupeiformes,Actinopteri
Konosirus punctatus,Konosirus punctatus,365056,Clupeidae,Clupeiformes,Actinopteri
Sardina pilchardus,Sardina pilchardus,27697,Clupeidae,Clupeiformes,Actinopteri
Sardinella longiceps,Sardinella longiceps,96888,Clupeidae,Clupeiformes,Actinopteri
Sardinops sagax,Sardinops sagax,28381,Clupeidae,Clupeiformes,Actinopteri
Sprattus sprattus,Sprattus sprattus,196075,Clupeidae,Clupeiformes,Actinopteri
Thryssa mystax,Thryssa mystax,1150459,Engraulidae,Clupeiformes,Actinopteri
Abbottina rivularis,Abbottina rivularis,75332,Gobionidae,Cypriniformes,Actinopteri
Abramis ballerus,Ballerus ballerus,155074,Leuciscidae,Cypriniformes,Actinopteri
Abramis brama,Abramis brama,38527,Leuciscidae,Cypriniformes,Actinopteri
Abramis sapa,Ballerus sapa,155073,Leuciscidae,Cypriniformes,Actinopteri
Alburnus alburnus,Alburnus alburnus,54556,Leuciscidae,Cypriniformes,Actinopteri
Algansea lacustris,Algansea lacustris,364078,Leuciscidae,Cypriniformes,Actinopteri
Aspius aspius,Leuciscus aspius,98928,Leuciscidae,Cypriniformes,Actinopteri
Barbonymus gonionotus,Barbonymus gonionotus,381606,Cyprinidae,Cypriniformes,Actinopteri
Barbus balcanicus,Barbus balcanicus,467341,Cyprinidae,Cypriniformes,Actinopteri
Barbus barbus,Barbus barbus,40830,Cyprinidae,Cypriniformes,Actinopteri
Barbus cyclolepis,Barbus cyclolepis,101867,Cyprinidae,Cypriniformes,Actinopteri
Barbus meridionalis,Barbus meridionalis,77796,Cyprinidae,Cypriniformes,Actinopteri
Barbus setivimensis,Luciobarbus setivimensis,1483069,Cyprinidae,Cypriniformes,Actinopteri
Barbus tyberinus,Barbus tyberinus,117140,Cyprinidae,Cypriniformes,Actinopteri
Blicca bjoerkna,Blicca bjoerkna,58317,Leuciscidae,Cypriniformes,Actinopteri
Carassius auratus,Carassius auratus,7957,Cyprinidae,Cypriniformes,Actinopteri
Carassius carassius,Carassius carassius,217509,Cyprinidae,Cypriniformes,Actinopteri
Carassius gibelio,Carassius gibelio,101364,Cyprinidae,Cypriniformes,Actinopteri
Carpiodes cyprinus,Carpiodes cyprinus,244777,Catostomidae,Cypriniformes,Actinopteri
Catostomus catostomus,Catostomus catostomus,43956,Catostomidae,Cypriniformes,Actinopteri
Catostomus commersonii,Catostomus commersonii,7971,Catostomidae,Cypriniformes,Actinopteri
Chanodichthys dabryi,Chanodichthys dabryi,194365,Xenocyprididae,Cypriniformes,Actinopteri
Chanodichthys erythropterus,Chanodichthys erythropterus,933992,Xenocyprididae,Cypriniformes,Actinopteri
Chanodichthys ilishaeformis,Chanodichthys ilishaeformis,291482,Xenocyprididae,Cypriniformes,Actinopteri
Chanodichthys mongolicus,Chanodichthys mongolicus,291816,Xenocyprididae,Cypriniformes,Actinopteri
Cirrhinus molitorella,Cirrhinus molitorella,172907,Cyprinidae,Cypriniformes,Actinopteri
Cirrhinus mrigala,Cirrhinus mrigala,683832,Cyprinidae,Cypriniformes,Actinopteri
Coreius guichenoti,Coreius guichenoti,328532,Gobionidae,Cypriniformes,Actinopteri
Ctenopharyngodon idella,Ctenopharyngodon idella,7959,Xenocyprididae,Cypriniformes,Actinopteri
Devario devario,Devario devario,46781,Danionidae,Cypriniformes,Actinopteri
Epalzeorhynchos kalopterus,Epalzeorhynchos kalopterus,699555,Cyprinidae,Cypriniformes,Actinopteri
Garra rufa,Garra rufa,137080,Cyprinidae,Cypriniformes,Actinopteri
Gibelion catla,Labeo catla,72446,Cyprinidae,Cypriniformes,Actinopteri
Gnathopogon elongatus,Gnathopogon elongatus,332172,Gobionidae,Cypriniformes,Actinopteri
Gnathopogon imberbis,Gnathopogon imberbis,328529,Gobionidae,Cypriniformes,Actinopteri
Gobio gobio,Gobio gobio,27704,Gobionidae,Cypriniformes,Actinopteri
Hemibarbus barbus,Hemibarbus barbus,80793,Gobionidae,Cypriniformes,Actinopteri
Hemiculter bleekeri,Hemiculter bleekeri,198511,Xenocyprididae,Cypriniformes,Actinopteri
Hemiculter leucisculus,Hemiculter leucisculus,75350,Xenocyprididae,Cypriniformes,Actinopteri
Hemiculter lucidus,Hemiculter lucidus,497139,Xenocyprididae,Cypriniformes,Actinopteri
Hypophthalmichthys molitrix,Hypophthalmichthys molitrix,13095,Xenocyprididae,Cypriniformes,Actinopteri
Hypophthalmichthys nobilis,Hypophthalmichthys nobilis,7965,Xenocyprididae,Cypriniformes,Actinopteri
Leucaspius delineatus,Leucaspius delineatus,58323,Leuciscidae,Cypriniformes,Actinopteri
Leuciscus idus,Leuciscus idus,69811,Leuciscidae,Cypriniformes,Actinopteri
Leuciscus leuciscus,Leuciscus leuciscus,58325,Leuciscidae,Cypriniformes,Actinopteri
Luciobrama macrocephalus,Luciobrama macrocephalus,238034,Xenocyprididae,Cypriniformes,Actinopteri
Megalobrama amblycephala,Megalobrama amblycephala,75352,Xenocyprididae,Cypriniformes,Actinopteri
Minytrema melanops,Minytrema melanops,154819,Catostomidae,Cypriniformes,Actinopteri
Misgurnus anguillicaudatus,Misgurnus anguillicaudatus,75329,Cobitidae,Cypriniformes,Actinopteri
Misgurnus fossilis,Misgurnus fossilis,7984,Cobitidae,Cypriniformes,Actinopteri
Moxostoma anisurum,Moxostoma anisurum,154817,Catostomidae,Cypriniformes,Actinopteri
Moxostoma macrolepidotum,Moxostoma macrolepidotum,196770,Catostomidae,Cypriniformes,Actinopteri
Mylopharyngodon piceus,Mylopharyngodon piceus,75356,Xenocyprididae,Cypriniformes,Actinopteri
Notemigonus crysoleucas,Notemigonus crysoleucas,28800,Leuciscidae,Cypriniformes,Actinopteri
Notropis atherinoides,Notropis atherinoides,67550,Leuciscidae,Cypriniformes,Actinopteri
Notropis hudsonius,Notropis hudsonius,254296,Leuciscidae,Cypriniformes,Actinopteri
Parabramis pekinensis,Parabramis pekinensis,75358,Xenocyprididae,Cypriniformes,Actinopteri
Pethia conchonius,Pethia conchonius,27708,Cyprinidae,Cypriniformes,Actinopteri
Phoxinus phoxinus,Phoxinus phoxinus,58324,Leuciscidae,Cypriniformes,Actinopteri
Pimephales notatus,Pimephales notatus,51138,Leuciscidae,Cypriniformes,Actinopteri
Pimephales promelas,Pimephales promelas,90988,Leuciscidae,Cypriniformes,Actinopteri
Pseudochondrostoma polylepis,Pseudochondrostoma polylepis,52620,Leuciscidae,Cypriniformes,Actinopteri
Pseudolaubuca sinensis,Pseudolaubuca sinensis,172914,Xenocyprididae,Cypriniformes,Actinopteri
Pseudorasbora parva,Pseudorasbora parva,51549,Gobionidae,Cypriniformes,Actinopteri
Rhodeus sericeus,Rhodeus sericeus,58327,Acheilognathidae,Cypriniformes,Actinopteri
Richardsonius balteatus,Richardsonius balteatus,86930,Leuciscidae,Cypriniformes,Actinopteri
Rutilus rubilio,Sarmarutilus rubilio,1789051,Leuciscidae,Cypriniformes,Actinopteri
Rutilus rutilus,Rutilus rutilus,48668,Leuciscidae,Cypriniformes,Actinopteri
Saurogobio dabryi,Saurogobio dabryi,234792,Gobionidae,Cypriniformes,Actinopteri
Scardinius erythrophthalmus,Scardinius erythrophthalmus,58319,Leuciscidae,Cypriniformes,Actinopteri
Semotilus atromaculatus,Semotilus atromaculatus,67558,Leuciscidae,Cypriniformes,Actinopteri
Semotilus corporalis,Semotilus corporalis,520992,Leuciscidae,Cypriniformes,Actinopteri
Spinibarbus sinensis,Spinibarbus sinensis,352921,Cyprinidae,Cypriniformes,Actinopteri
Squaliobarbus curriculus,Squaliobarbus curriculus,75372,Xenocyprididae,Cypriniformes,Actinopteri
Tinca tinca,Tinca tinca,27717,Tincidae,Cypriniformes,Actinopteri
Xenophysogobio boulengeri,Xenophysogobio boulengeri,180937,Gobionidae,Cypriniformes,Actinopteri
Zacco platypus,Zacco platypus,80810,Xenocyprididae,Cypriniformes,Actinopteri
Allotoca diazi,Allotoca diazi,208316,Goodeidae,Cyprinodontiformes,Actinopteri
Aphanius iberus,Aphanius iberus,136835,Aphaniidae,Cyprinodontiformes,Actinopteri
Fundulus grandis,Fundulus grandis,34779,Fundulidae,Cyprinodontiformes,Actinopteri
Fundulus heteroclitus,Fundulus heteroclitus,8078,Fundulidae,Cyprinodontiformes,Actinopteri
Fundulus kansae,Fundulus kansae,722634,Fundulidae,Cyprinodontiformes,Actinopteri
Gambusia affinis,Gambusia affinis,33528,Poeciliidae,Cyprinodontiformes,Actinopteri
Poecilia mexicana,Poecilia mexicana,48701,Poeciliidae,Cyprinodontiformes,Actinopteri
Poecilia reticulata,Poecilia reticulata,8081,Poeciliidae,Cyprinodontiformes,Actinopteri
Poecilia sphenops,Poecilia sphenops,69235,Poeciliidae,Cyprinodontiformes,Actinopteri
Esox lucius,Esox lucius,8010,Esocidae,Esociformes,Actinopteri
Esox masquinongy,Esox masquinongy,126735,Esocidae,Esociformes,Actinopteri
Esox niger,Esox niger,184451,Esocidae,Esociformes,Actinopteri
Umbra limi,Umbra limi,75935,Umbridae,Esociformes,Actinopteri
Brosme brosme,Brosme brosme,81638,Lotidae,Gadiformes,Actinopteri
Coryphaenoides armatus,Coryphaenoides armatus,76798,Macrouridae,Gadiformes,Actinopteri
Coryphaenoides guentheri,Coryphaenoides guentheri,473304,Macrouridae,Gadiformes,Actinopteri
Enchelyopus cimbrius,Enchelyopus cimbrius,81640,Gaidropsaridae,Gadiformes,Actinopteri
Gadella jordani,Gadella jordani,390693,Moridae,Gadiformes,Actinopteri
Gadiculus argenteus,Gadiculus argenteus,185737,Gadidae,Gadiformes,Actinopteri
Gadus callarias,Gadus morhua callarias,8053,Gadidae,Gadiformes,Actinopteri
Gadus chalcogrammus,Gadus chalcogrammus,1042646,Gadidae,Gadiformes,Actinopteri
Gadus macrocephalus,Gadus macrocephalus,80720,Gadidae,Gadiformes,Actinopteri
Gadus morhua,Gadus morhua,8049,Gadidae,Gadiformes,Actinopteri
Gadus ogac,Gadus ogac,8052,Gadidae,Gadiformes,Actinopteri
Gaidropsarus argentatus,Gaidropsarus argentatus,81643,Gaidropsaridae,Gadiformes,Actinopteri
Gaidropsarus mediterraneus,Gaidropsarus mediterraneus,426100,Gaidropsaridae,Gadiformes,Actinopteri
Lota lota,Lota lota,69944,Lotidae,Gadiformes,Actinopteri
Macrourus berglax,Macrourus berglax,473319,Macrouridae,Gadiformes,Actinopteri
Melanogrammus aeglefinus,Melanogrammus aeglefinus,8056,Gadidae,Gadiformes,Actinopteri
Merlangius merlangus,Merlangius merlangus,8058,Gadidae,Gadiformes,Actinopteri
Merluccius bilinearis,Merluccius bilinearis,79698,Merlucciidae,Gadiformes,Actinopteri
Merluccius merluccius,Merluccius merluccius,8063,Merlucciidae,Gadiformes,Actinopteri
Merluccius polli,Merluccius polli,89951,Merlucciidae,Gadiformes,Actinopteri
Merluccius productus,Merluccius productus,89952,Merlucciidae,Gadiformes,Actinopteri
Microgadus proximus,Microgadus proximus,80721,Gadidae,Gadiformes,Actinopteri
Microgadus tomcod,Microgadus tomcod,34823,Gadidae,Gadiformes,Actinopteri
Micromesistius poutassou,Micromesistius poutassou,81636,Gadidae,Gadiformes,Actinopteri
Phycis phycis,Phycis phycis,349666,Phycidae,Gadiformes,Actinopteri
Physiculus japonicus,Physiculus japonicus,181408,Moridae,Gadiformes,Actinopteri
Pollachius virens,Pollachius virens,8060,Gadidae,Gadiformes,Actinopteri
Trachyrincus scabrus,Trachyrincus scabrus,562814,Macrouridae,Gadiformes,Actinopteri
Trisopterus esmarkii,Trisopterus esmarkii,80723,Gadidae,Gadiformes,Actinopteri
Trisopterus luscus,Trisopterus luscus,27722,Gadidae,Gadiformes,Actinopteri
