Host_Intermediate,Host,taxid,HostFamily,HostOrder,HostClass
Acipenser baerii,Acipenser baerii,27689,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser persicus,Acipenser persicus,61968,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser ruthenus,Acipenser ruthenus,7906,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser schrenckii,Acipenser schrenckii,111304,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser sturio,Acipenser sturio,61674,Acipenseridae,Acipenseriformes,Actinopteri
Acipenser transmontanus,Acipenser transmontanus,7904,Acipenseridae,Acipenseriformes,Actinopteri
Betta splendens,Betta splendens,158456,Osphronemidae,Anabantiformes,Actinopteri
Melanotaenia praecox,Melanotaenia praecox,238736,Melanotaeniidae,Atheriniformes,Actinopteri
Odontesthes platensis,Odontesthes platensis,458593,Atherinopsidae,Atheriniformes,Actinopteri
Kyphosus cinerascens,Kyphosus cinerascens,163144,Kyphosidae,Centrarchiformes,Actinopteri
Kyphosus vaigiensis,Kyphosus vaigiensis,163143,Kyphosidae,Centrarchiformes,Actinopteri
Leiognathus equulus,Leiognathus equulus,218804,Leiognathidae,Chaetodontiformes,Actinopteri
Leiognathus philippinus,Leiognathus philippinus,274461,Leiognathidae,Chaetodontiformes,Actinopteri
Brycon orbignyanus,Brycon orbignyanus,126315,Bryconidae,Characiformes,Actinopteri
Bryconamericus scleroparius,Bryconamericus scleroparius,190785,Characidae,Characiformes,Actinopteri
Serrasalmus rhombeus,Serrasalmus rhombeus,138556,Serrasalmidae,Characiformes,Actinopteri
Cichlasoma beani,Mayaheros beani,449988,Cichlidae,Cichliformes,Actinopteri
Cichlasoma istlanum,Amphilophus istlanus,407111,Cichlidae,Cichliformes,Actinopteri
Cichlasoma pearsei,Cincelichthys pearsei,383918,Cichlidae,Cichliformes,Actinopteri
Cichlasoma trimaculatum,Cichlasoma trimaculatum,247411,Cichlidae,Cichliformes,Actinopteri
Cichlasoma urophthalmum,Mayaheros urophthalmus,318743,Cichlidae,Cichliformes,Actinopteri
Crenicichla lepidota,Crenicichla lepidota,161897,Cichlidae,Cichliformes,Actinopteri
Oreochromis mossambicus,Oreochromis mossambicus,8127,Cichlidae,Cichliformes,Actinopteri
Oreochromis niloticus,Oreochromis niloticus,8128,Cichlidae,Cichliformes,Actinopteri
Tilapia dageti,Coptodon dageti,665429,Cichlidae,Cichliformes,Actinopteri
Tilapia guineensis,Coptodon guineensis,64549,Cichlidae,Cichliformes,Actinopteri
Tilapia zillii,Coptodon zillii,8130,Cichlidae,Cichliformes,Actinopteri
Vieja fenestrata,Vieja fenestrata,252142,Cichlidae,Cichliformes,Actinopteri
Vieja maculicauda,Vieja maculicauda,399407,Cichlidae,Cichliformes,Actinopteri
Vieja synspila,Vieja melanura,318738,Cichlidae,Cichliformes,Actinopteri
Clupea harengus,Clupea harengus,7950,Clupeidae,Clupeiformes,Actinopteri
Clupea pallasii,Clupea pallasii,30724,Clupeidae,Clupeiformes,Actinopteri
Engraulis anchoita,Engraulis anchoita,249022,Engraulidae,Clupeiformes,Actinopteri
Engraulis encrasicolus,Engraulis encrasicolus,184585,Engraulidae,Clupeiformes,Actinopteri
Alburnoides bipunctatus,Alburnoides bipunctatus,58321,Leuciscidae,Cypriniformes,Actinopteri
